K000000971	Furniture Assembler
K000001070	Automotive Service Technician
K000000858	Automotive Parts Assembly Inspector
K000000909	Transport Equipment Assembler
K000007548	Automobile Assembler
K000007530	Kindergarten Teacher
K000000830	Dental Hygienist
K000000864	Prosthetics and Orthotics Technician
K000001017	Radiologic Technologist
K000001088	Speech-Language Therapist
K000001186	Audiologist
K000001216	Art Therapist
K000007501	Physiotherapist
K000007537	Occupational Therapist
K000007544	Clinical Laboratory Technologist
K000007564	Play Therapist
K000007577	Dental Technician
K000008503	Clinical Psychologist
K000000965	Garment and Leather Repairer
K000001115	Tailor and Dressmaker
K000007457	Hanbok Maker
K000001133	Medical Specialist
K000007472	Dentist
K000007504	General Practitioner
K000007542	Korean Medicine Doctor
K000000847	Chief Executive and Senior Corporate Officer
K000000933	Senior Government Official
K000000949	Humanities Researcher
K000008522	Social Sciences Researcher
K000000880	Photo Processing Machine Operator
K000000988	Printing Machine Operator
K000000869	Forestry Manager and Logger
K000001076	Automated Assembly Line and Industrial Robot Operator
K000000930	Product and Advertising Sales Representative
K000008491	Automobile Sales Representative
K000001164	Truck and Special Vehicle Driver
K000007465	Taxi Driver
K000007468	Bus Driver
K000000825	Natural Sciences Laboratory Technician
K000008521	Natural Sciences Researcher
K000000824	Translator
K000001029	Screenwriter
K000001051	Interpreter
K000001169	Broadcast Writer
K000001198	Publishing Editor
K000007572	Novelist
K000000842	Seedling and Floriculture Grower
K000000907	Vegetable and Specialty Crop Grower
K000001035	Landscape Gardener
K000007484	Grain Crop Grower
K000007486	Fruit Crop Grower
K000000849	Teaching Assistant
K000001149	Educational Materials and E-Learning Specialist
K000008543	School Inspector and Education Researcher
K000000961	Office Electronics Installer and Repairer
K000001098	Home Appliance Installer and Repairer
K000000917	Electronic Components Machine Operator
K000000927	Electrical Components Machine Operator
K000008547	Battery Manufacturing Machine Operator
K000001135	Electrical and Electronic Components Assembler
K000001118	Electrical and Electronic Equipment Operator
K000000826	Electrical Equipment Development Engineer
K000000840	Power Transmission and Distribution Engineer
K000000876	Electrical Supervision Engineer
K000000879	Display Research and Development Engineer
K000000975	Power Plant Engineer
K000000984	Electronics Product Development Engineer
K000001184	Semiconductor Engineer
K000001191	Electronic Instrumentation and Control Engineer
K000001202	Electrical Instrumentation and Control Engineer
K000001205	Electrical and Electronics Testing Technician
K000007491	Electrical Safety Engineer
K000001083	Outside Plant Electrician
K000001095	Building Electrician
K000001158	Industrial Electrician
K000000833	Social Welfare Manager
K000000838	School Principal
K000000910	Legal and Public Safety Manager
K000000931	Healthcare Services Manager
K000000969	Arts and Culture Manager
K000000990	University President and Dean
K000001032	Information and Communications Manager
K000001171	Kindergarten Principal
K000001190	Research Manager
K000000978	IT Support Specialist
K000001061	Website Administrator
K000001132	Information Systems Operator
K000008481	Network and Cloud Administrator
K000000963	Computer Installation and Repair Technician
K000001121	Mobile Phone Repair Technician
K000000995	General Administrative Officer
K000001040	Customs Administration Officer
K000007456	Military Manpower Administration Officer
K000007516	Tax Administration Officer
K000000925	Public Administration Specialist
K000007524	Administrative Agent
K000000861	Baker and Pastry Chef
K000008482	Rice Cake Maker
K000001090	CAD Draughtsperson
K000001015	Footwear Manufacturing Machine Operator
K000001033	Shoemaker
K000001057	Laundry Machine Operator
K000000893	Barista and Beverage Preparer
K000001044	Bartender
K000007450	Chinese Cuisine Chef
K000007538	Korean Cuisine Chef
K000007555	Western Cuisine Chef
K000007556	Head Chef and Culinary Researcher
K000007579	Japanese Cuisine Chef
K000008544	Institutional Catering Cook
K000000851	Orchestra Conductor
K000001007	Photojournalist and Photographer
K000001089	Singer
K000001110	Korean Traditional Musician
K000001181	Instrumental Musician
K000007479	Choreographer
K000007505	Classical Vocalist
K000007546	Dancer
K000007583	Composer
K000008494	Backup Dancer
K000008495	Cartoonist and Animator
K000008501	Painter and Sculptor
K000001066	Cleaner
K000001156	Street Cleaner and Recycling Collector
K000000856	Computer Systems Designer and Analyst
K000001085	IT Consultant and Auditor
K000000900	Telecommunications Network Engineer
K000000924	Telecommunications Equipment Engineer
K000000936	Telecommunications Technology Developer
K000000994	Computer Hardware Engineer
K000000884	Ship Deckhand
K000000954	Loading and Stevedoring Worker
K000008483	Postal Delivery Worker
K000008492	Parcel Delivery Worker
K000007451	Telemarketer
K000001041	Broadcast Transmission Equipment Engineer
K000001074	Telecommunications Equipment Technician
K000000821	Boilermaker
K000000823	Sheet Metal Worker
K000000827	Street and Mobile Vendor
K000000874	Fuel Station Attendant
K000001050	Equipment Rental Clerk
K000001109	Mobile Device and Telecom Sales Representative
K000001128	Retail Salesperson
K000001143	Small Shop Manager
K000001154	Online Retail Salesperson
K000007513	Door-to-Door Salesperson
K000001218	Promotional Model and Brand Promoter
K000000848	Garment Sewing Machinist
K000001122	Garment Cutter
K000001182	Pattern Maker
K000001065	Secondary School Teacher
K000001113	Special Education Teacher
K000007558	Primary School Teacher
K000001019	Museum Curator
K000001100	Records Manager
K000001119	Cultural Heritage Conservator
K000007532	Librarian
K000007506	Flight Attendant
K000008488	Ship and Train Cabin Attendant
K000000941	Train Driver
K000000974	Ship Captain and Navigation Officer
K000001137	Railway Signaller and Traffic Controller
K000007469	Marine Engineer Officer
K000007552	Airline Pilot
K000008493	Air Traffic Controller
K000000919	Marketing and Communications Manager
K000001059	Corporate Support Manager
K000001081	Government Administration Manager
K000001210	Finance Manager
K000007471	Insurance Manager
K000000865	Petrochemical Engineer
K000000934	Chemical Engineering Laboratory Technician
K000000946	Coatings and Agrochemicals Engineer
K000000998	Pharmaceutical Engineer
K000001141	Cosmetics and Detergent Chemical Engineer
K000001193	Rubber and Plastics Chemical Engineer
K000000916	Water and Wastewater Treatment Plant Operator
K000001003	Recycling and Incineration Plant Operator
K000007466	Bookkeeping Clerk
K000007487	Accounting Clerk
K000007449	Certified Public Accountant
K000007500	Licensed Customs Broker
K000007514	Certified Appraiser
K000007525	Certified Tax Accountant
