user_id,user_raw_id,train_seq_len,train_sequence,val_item_id,test_item_id
44,A102JNFLL0KW7I,6,2307 326 11081 12000 1903 5169,6359,10463
45,A10315HN03CRA3,3,226 3896 6803,6806,536
46,A103584DULBU65,3,11650 11938 11873,11790,12065
47,A103979529MRJY0U56QI4,20,3425 8098 8149 9109 9835 9852 9999 10133 10147 10177 10222 10631 11140 11446 5577 11004 5097 9278 10745 7129,9766,11599
48,A103BJIOJSDJL1,20,2044 3080 4262 6387 9082 9087 10334 10355 10864 54 8561 3162 3432 1253 3927 3070 10666 8806 4660 4572,6945,1853
49,A103EB0NUZIX2S,3,3012 9243 1689,2422,10427
50,A103U3KR4L2ZXT,4,2576 52 484 1520,4711,8034
51,A103WXT3CHVY0H,9,1733 2932 4179 1491 6141 10994 10435 594 11553,3662,11059
52,A103ZVTCQUF348,5,771 1929 2638 3926 2500,9567,7217
53,A1043CGOMHVZQ7,6,340 8278 2439 5256 6085 8233,8823,8646
54,A10471B8ZIMVS,9,4168 3357 6327 7418 3420 6952 8574 9599 5105,5106,5187
55,A1047EDJ84IMAS,20,11247 1467 3601 4954 5842 6485 3593 6461 6464 6486 6972 6402 6460 6615 7458 11922 11893 867 6857 10838,3207,6945
56,A1047P9FLHTDZJ,3,687 738 3847,5292,7511
57,A104BMR0QRIDSZ,3,4022 2897 6148,5196,1914
58,A1051DBTLWP5A2,10,2721 6207 6699 7002 7936 198 5383 1463 329 5534,3208,2924
59,A1052V04GOA7RV,6,5953 2021 4055 7564 6868 7000,1767,4186
60,A1057ZABSPSAXE,8,719 769 1801 2707 3035 7767 9632 2921,6358,6672
61,A1059MG8KDS2AL,4,679 1600 4474 6964,8783,8784
62,A105R38CAPDBGU,3,843 1506 1507,3065,9034
63,A105S56ODHGJEK,20,9594 10697 9085 10698 10570 10811 10895 10163 10668 10751 10752 5089 11053 8976 8975 1290 11764 11765 11770 11801,11802,11779
64,A105TMLESHR0Y4,5,3548 6432 6433 2471 322,9560,10949
65,A105TOJ6LTVMBG,5,1926 102 262 552 3772,7846,453
66,A105Y470S2O46U,5,8537 8953 4995 6209 7131,10564,3278
67,A1061GUVDRBQRS,8,908 1120 3662 5242 9083 6434 8152 2971,8025,9379
68,A106E0KJW7C13K,6,1520 1521 1826 3207 716 11451,4897,1874
69,A106E1N0ZQ4D9W,3,7209 6734 8043,8888,9195
70,A106MNO7PYG1WL,3,9188 9951 4366,4867,10015
71,A106Q1A6LGU4DP,10,3653 3540 9265 9882 3049 10384 1491 8807 10373 11402,11663,12032
72,A106YK8JBW1JBP,6,1576 3779 3166 4440 6769 8029,4977,6742
73,A1076UA29SK59D,3,3361 8379 3762,4023,9308
74,A1078L9AXZRGT7,3,9467 10692 10559,10505,11766
75,A107H3XGCV6Y4Q,5,10281 10689 2661 10668 10688,2688,11709
76,A107VKWCI8SN8G,3,162 247 5006,9476,9727
77,A1080RZ0OYO8WH,3,2883 4992 5676,4168,5244
78,A1084V41BP7RDH,7,8819 1592 8091 1520 3093 10608 11369,11374,10511
79,A1087Y8RJ4D422,6,2467 2986 4910 10290 14 6980,4909,3690
80,A108JE8E0CK1G3,3,3988 2031 46,3251,8312
81,A108S8GV9IJJ96,13,7129 7214 7522 2036 4913 5097 5351 3226 5029 5563 8123 8149 8242,9034,10739
82,A108VB7LEU7M6W,8,6301 1117 3989 545 1084 5095 5106 5167,7659,10441
83,A108W62SUWQCL4,11,836 2572 6764 817 1056 6131 280 2721 4915 3768 4440,11927,6732
84,A108XP24UESKSV,12,1353 2810 70 1261 2557 1351 10381 10752 11215 11219 11707 11769,11710,11711
85,A1093UZ147FN0Q,6,898 4417 3944 1696 4617 7006,848,11384
86,A109R5OGVEV96V,6,2008 2373 3199 267 6451 8785,6767,3742
87,A109STTUEOR3EC,3,9846 10796 7476,9403,9766
88,A10A4ZC3ME91O,5,720 4031 2376 2607 2763,3757,4653
89,A10AIIMNYUD5AG,3,7180 8471 7365,8485,6401
90,A10ASGFTEHUCB9,8,226 4984 3503 8128 1914 7534 10244 1000,2982,9920
91,A10AUL6XCCDWA0,3,5361 5634 5696,7171,11783
92,A10AVFDDU87KJ4,3,10480 7095 9965,428,6137
93,A10BD0288TGRVS,4,5500 5412 4335 4188,158,8299
94,A10BK26EN1YSZT,3,1584 2199 2075,1911,7688
95,A10BSS8EZFU0RZ,6,482 3698 5830 5877 7094 9391,6612,5880
96,A10C5CJK1YKGV0,4,4270 6434 10569 5782,10572,10695
97,A10CF04CJZC05F,4,6905 3194 2027 3595,3831,1212
98,A10CIHFHGR4IPJ,4,1273 4690 1293 6527,4747,10383
99,A10CQZQH4IAJES,6,9359 11101 846 4449 8445 11310,11311,11921
100,A10CRH1O1H6RSV,3,2505 5199 5518,8249,486
101,A10DNVWJ062KL2,4,4509 7848 8029 8957,10132,9998
102,A10DUS7U69JA5F,3,10615 325 7929,11270,2546
103,A10E3F50DIUJEE,10,6432 8073 7910 916 10705 10565 8555 5292 10669 10537,4015,11763
104,A10E3V94MQ9IVU,3,266 8643 7806,6310,8783
105,A10EA0CWQ2AC58,3,7134 2672 7880,11511,7879
106,A10EACLLH0JMSZ,6,8149 6236 9619 9621 9766 9989,10107,10631
107,A10EERGL3OHTJ7,6,403 2127 6365 7990 8648 8743,7742,5522
108,A10EO39J34O6JN,4,2373 11299 11286 11344,11291,11337
109,A10F0D8JQU9WBB,7,4267 5342 2719 1239 6047 5527 1026,5142,7225
110,A10FW892S59ABJ,6,5114 7699 3707 5972 7697 7700,7716,8813
111,A10FYJ0D5Q623M,7,2006 6070 7391 8043 8710 10826 879,2053,6867
112,A10G136JEISLVR,20,6759 8624 2034 8765 8138 9202 6387 2347 9632 3712 8722 8723 9201 6781 820 9203 10645 827 1092 2248,7859,11562
113,A10G2HJL0VSWET,10,770 2214 1885 11243 6959 9722 12 184 2647 5199,8197,10245
114,A10G4BPT5MGBHY,4,2336 3801 4049 4051,5347,11051
115,A10GUAYV0VENIN,4,40 4335 2148 3951,3159,10314
116,A10H5JQ2PR8JCM,9,9721 9874 638 3207 5456 9997 1529 10861 6328,6359,7756
117,A10HIUT4KSJEHJ,4,5262 403 7423 8075,9743,5261
118,A10HPK4B1CL4TA,3,8979 9875 3745,7140,10427
119,A10HR0ECYKDNTN,3,749 5417 1868,1988,3843
120,A10HUY256SGEQI,4,2298 3158 4368 5305,9470,9545
121,A10HXCOBSYFYKR,3,113 6191 7329,7243,2338
122,A10HZRDNCSKJRS,8,2059 6450 6682 7474 7882 8107 9171 9576,10709,11321
123,A10IAY9C15Q2VP,6,5808 1585 4017 10502 3575 8789,10497,2318
124,A10IHU4CK45H21,20,5132 7651 7648 5527 7116 8242 11185 4739 7118 3272 5193 5962 7121 9777 11431 7745 8480 1335 4467 5898,4947,6318
125,A10IKD1NJ5UYYP,3,9915 10055 10673,6432,11612
126,A10IKHRUSMKP46,5,3181 3913 5767 1285 6353,1624,9882
127,A10IQ4GEO8SB8D,3,3352 4907 6667,7650,7651
128,A10IQD569MWNGU,3,1248 5673 4138,396,10586
129,A10IRGY2RUZ6MW,3,261 687 1164,3540,3830
130,A10JWU28FPMMVR,4,5437 8255 6419 11255,3221,4418
131,A10K606KWGOA2Y,12,5059 5524 8182 382 5440 4098 10868 3591 3403 8246 5581 1349,11380,1330
132,A10K67M5ROMLWP,3,3223 5993 7369,9989,10118
133,A10L198Q8ZKC0H,7,4819 11650 12019 12065 12064 12057 12058,11616,12078
134,A10L8D3333PL2F,3,4005 267 1778,6959,8630
135,A10LDN5UFRET13,5,3152 4036 5577 6236 7531,9118,9368
136,A10LKWO19E9V2G,4,848 2153 2647 4229,6320,7153
137,A10LWFKVC21F82,3,1583 5437 707,2555,5959
138,A10M94ASQEBL56,10,2111 10529 10004 10751 10752 10810 9977 10916 9159 11373,11767,11930
139,A10MBN6W7JESPQ,3,8768 4512 7663,140,7382
140,A10MHMG8RKBMT8,3,6012 4430 234,6506,9072
141,A10MM3NCDLDX3G,5,111 3857 5795 7044 2174,10500,11594
142,A10N19OL0CKYDV,5,6733 2694 3130 1853 361,6809,8872
143,A10N31SPQR63OT,3,5055 5527 3219,4213,818
144,A10N9KD0QEWECL,4,9946 7617 2214 10615,8755,798
145,A10NI364NU4YKK,3,555 8279 8850,9711,11146
146,A10NJPRAGAWRCA,5,54 3462 3540 4007 6397,9553,10610
147,A10NSVPPDIW4XU,12,8530 2298 5359 8076 10784 8480 8482 1520 7519 7648 11060 7556,8607,7453
148,A10O9LX8PH1J8M,6,9776 5352 8474 7552 9387 3342,443,12062
149,A10OCMJW1NK4G9,3,2851 2174 2378,6852,6789
150,A10OTOBL3K2BHE,3,6401 8501 2002,8483,8495
151,A10P929XNMXK17,3,6449 6457 6471,6639,7316
152,A10PEXB6XAQ5XF,7,7674 8729 8643 10695 10568 10692 4566,10694,11782
153,A10PUMFCPP2SXV,9,11304 11938 12019 11227 11971 12053 11790 12024 12065,12079,12087
154,A10Q5LBB5HQ0BJ,3,9998 10651 9449,8135,438
155,A10QJVO4NWCL74,7,7000 3962 5612 12 3251 3247 7873,389,5770
156,A10QO5HFPTSPPQ,6,369 403 5101 5262 6401 6412,9099,10336
157,A10QQ3G5BEUSGQ,6,2247 4743 5050 6310 7896 7897,8462,11544
158,A10QRHT3U49611,4,4872 8043 3408 8783,3872,9903
159,A10R9LB4QJNG5X,9,1520 6003 2475 7736 7841 8520 2602 8936 5491,11829,11618
160,A10RGDOWU984U1,9,3298 4464 4747 5249 8242 4732 4734 7385 4646,8492,2583
161,A10RZY47RBFGMR,3,6484 7907 6389,8120,10220
162,A10S8JTRCL7BR,6,172 7643 1206 7139 7144 10729,8747,4184
163,A10SQR3U7RMY8C,3,6471 7482 4184,6482,6525
164,A10SRTOLM9TPKR,5,7285 7424 8242 8248 4467,8249,8478
165,A10T4A0EV3YH6U,5,3322 2036 2488 5175 5641,6096,5174
166,A10T7C2Y6O3MO2,4,2769 1984 7999 7006,8506,10148
167,A10TI8SX6OKJ23,5,5149 8276 2283 3596 4447,5048,148
168,A10TUI682RK6Q0,3,2075 3749 693,1452,2368
169,A10TXIPVNH5HPE,4,3207 3424 5655 8029,7720,10781
170,A10UA7M5C1W7UM,3,2481 9302 6761,10745,9826
171,A10UBA4R9UHUCT,3,8417 11126 11418,9368,11554
172,A10UCR7QHTF29U,14,574 4208 7531 6449 6457 6613 7316 7535 9365 6485 5640 6471 6488 7635,8019,8356
173,A10UEHOMQTDBIH,3,818 8450 7755,1788,8490
174,A10UH6NKDBE2Z,7,1789 5630 6902 7139 10018 8042 8776,8967,229
175,A10UHQH1YL5Q6B,17,1038 5700 7164 8832 805 1946 8831 2398 1595 222 1968 2406 7163 792 1026 1491 2647,6651,6443
176,A10VAHD8LGD00K,8,1412 389 3250 4379 3249 5381 7064 9171,9584,1858
177,A10VG24PB5AB22,3,2113 3129 2645,3432,11731
178,A10VOYIXJZCI1G,3,5279 3767 6612,8936,10213
179,A10W47A4PNPR6Z,3,6811 7881 8017,10026,7890
180,A10WDRM4UQJ9EO,3,9682 8242 9119,5181,11531
181,A10WXB2BWNCBEX,4,6430 6888 3722 5901,6715,10783
182,A10X20OIBA96ND,3,3566 4948 6352,6434,5075
183,A10X8YSZ83R2AJ,3,3739 5245 3565,4175,11255
184,A10XDLC8AII00M,7,3057 1602 2374 4586 4502 6434 10020,5336,6413
185,A10Y058K7B96C6,6,4270 8643 10559 10560 3703 8555,8806,5150
186,A10Y098YW7HDZJ,6,1981 1980 4389 2078 2079 9477,9482,9484
187,A10Y34T44VEYSN,6,347 2082 3378 3386 3454 7263,9644,10108
188,A10Y59HW4O47N0,6,3110 870 3109 4202 2856 4168,1111,1540
189,A10Y5RD8QNMHEZ,3,6585 8263 1560,4783,6500
190,A10Y9LFN8CSFH,3,4386 6479 7612,8706,7301
191,A10YFB0VUK1JOP,13,11685 11704 1247 11938 12019 11873 11948 11975 11839 12053 12056 12064 12065,12057,12058
192,A10YNQ7SPY4X63,4,4201 2959 91 9232,10975,2519
193,A10YWQ4AAAE29O,3,6002 6259 9455,10702,3703
194,A10Z57SSF7FEAN,15,267 4184 5973 7702 6976 381 9560 2480 3363 4267 4329 8479 8492 10000 8478,7428,11230
195,A10Z8FC0SMU5VQ,15,417 418 8657 9585 9590 2615 10567 10689 3714 5292 10572 10372 11051 11183 11782,11896,11930
196,A10ZBR6O8S8OCY,20,8555 3713 10569 10570 10537 10571 10698 10807 10695 10864 8560 8559 5626 10708 10163 11817 11514 8978 11775 11713,11235,11340
197,A10ZDZ2LVU7U26,3,6804 8589 9529,7342,10288
198,A10ZIZW2JBYGJR,3,4504 3274 364,4866,11756
199,A10ZWCAQW773O2,4,10283 7140 9524 5472,880,4293
200,A10ZX30O697DNH,3,2174 5191 3841,860,4004
201,A10ZXOPZ4Y7F4I,3,4072 2479 9171,7852,10361
202,A10ZZ8Q4OU3NVK,4,1364 4367 7829 3628,4175,9239
203,A1105ZFMT1RC46,4,1432 102 11136 382,2408,11225
204,A110OOYMFXQPDA,20,4002 872 1693 1828 2155 2734 3070 3549 4072 4207 4540 5925 6071 8334 2214 907 3961 9120 2456 4665,4924,7986
205,A110PQTEI6THU7,20,2647 2903 3039 3041 4593 5790 8239 971 5756 2721 4010 6679 6532 7537 311 8054 5981 849 9581 486,5598,2851
206,A110RS7QL8Q1UX,14,7915 8969 9466 9467 2615 10537 9082 10505 10571 10809 10751 4484 10373 11803,11930,11535
207,A110T9RC4SUJX4,3,7531 9711 10162,10491,7214
208,A111F7BN1GBXXN,3,2138 3906 8967,9109,10579
209,A111PH76SCPYCK,3,10445 9261 8683,10077,11066
210,A111QOKZEPWN4U,3,2427 2881 6127,6921,7008
211,A111RSHNLH2EHN,3,248 3216 3128,7753,10975
212,A1121T1I50825Z,10,3495 6877 4036 6883 7652 8089 8632 178 5097 7531,5962,8481
213,A112N3KWBSU273,3,460 400 3389,5072,11063
214,A112R98UWXV9AO,3,8684 520 3270,3423,8517
215,A112TFLXGBF6NI,20,7240 4084 5030 2549 473 5199 7805 1480 2859 4542 9164 10366 3566 3573 4253 22 3571 6896 4101 9703,51,4543
216,A113OP9GM4MGLA,5,4972 7468 1873 3389 5106,5398,6117
217,A113TH9LBSNFFF,10,5287 8589 8815 9682 10513 5482 6517 5178 7727 8736,5181,10787
218,A113VGLEOCAE9G,7,3908 5063 9615 2036 2652 3955 3957,4069,5097
219,A114DXU8YSRV1V,3,6716 10135 10459,10628,10854
220,A114MZKUK199DE,4,1685 1692 4711 5924,6432,11480
221,A11533OL7CCDPV,5,1821 10999 3220 7411 10608,10487,718
222,A1153MLFTUDPSJ,3,8648 8347 5697,8070,11310
223,A1155GLLKOE8NJ,5,1115 3350 4969 5022 5661,7453,7468
224,A115HT86H2I79N,9,8280 5097 7214 7531 8316 8632 9908 9483 10058,11248,9034
225,A115X7RPG5SW1Q,5,2306 2308 3172 3991 9196,9266,8591
226,A116K2CNNDQ1LF,6,7701 7715 10011 4656 4658 4659,6159,9188
227,A116MQPCVOV66H,3,1437 2948 3548,6726,9602
228,A116O8Y1KIU1M,6,2029 6605 7043 7350 6726 3441,5094,7764
229,A116VGNX84YL7I,4,944 9586 2243 2287,6649,4229
230,A116ZS3G8HEKQN,11,1153 3658 10100 8089 2593 10402 8258 7590 4992 11225 576,5411,5750
231,A117FC349SBSFK,12,4717 273 3124 3776 2934 5478 5683 8549 8550 9393 4762 11424,97,8508
232,A117FYENI6RSPP,6,1912 450 962 2073 2359 998,11143,454
233,A117Y5J7LC8SMP,3,6108 1155 2876,1564,7262
234,A1181TKBXURMN2,5,389 1330 9122 10290 5550,11075,5808
235,A118405OGNKRH1,6,2218 8026 8714 8823 9368 10587,10801,11214
236,A1189D8IRP5I4A,7,8516 744 1351 5068 5030 7806 9121,9347,120
237,A118AEVQ81QLG0,4,1644 3363 4320 79,4155,5492
238,A1194DT3HBZNWG,4,515 3072 4663 5023,6648,8736
239,A1194J1H29WSV,8,423 3376 1907 4570 2043 8197 1646 9209,3253,7118
240,A119GHIXLG4R2A,7,10133 9766 2390 5712 7531 3495 9365,10162,8135
241,A119NM7G6VYQM3,3,226 7453 2028,9096,9183
242,A119RW19UWK7PH,5,3338 3157 6132 6387 2938,8729,5725
243,A11A8EPPMQO479,3,2365 9758 2269,7860,10673
244,A11AP4QERYPCLK,6,8743 5557 9217 7801 9743 2923,2376,1520
245,A11B8JNLONAAPU,3,138 134 2504,5138,540
246,A11BCJJG91KVOY,20,4652 6259 9581 5782 10199 10384 8807 9088 10751 10807 10691 10752 9949 9995 1942 10375 10904 11663 11618 11930,11534,12015
247,A11BY6U6GEU04C,3,8736 10418 10422,10424,9424
248,A11C2ZX984GQW6,5,2844 3474 3716 7853 254,2203,6654
249,A11CRJ5LQ5SYNY,6,5485 2874 1119 1015 10709 4907,1311,6657
250,A11CSKLRK1APKU,3,113 2799 4665,8312,11157
251,A11DKW1I1HFWKY,4,382 1075 1084 783,2787,2948
252,A11DLWWD0138XT,4,1401 2031 717 1510,7700,2961
253,A11E97POD1SB80,6,5415 213 1928 4988 8881 8880,181,1934
254,A11EIDY6DD40CS,5,3678 1261 6764 8729 10317,1134,10774
255,A11ETVT8EYHOW2,9,1338 6014 6712 7269 7270 3416 330 2554 4216,2647,336
256,A11EXFO14WEJM1,7,5346 5767 8560 9082 1134 10695 11048,11057,11902
257,A11F3YONMF67ML,15,4000 4451 4915 6322 7240 7389 9125 9138 9579 389 5266 5915 6401 8568 9337,11431,8711
258,A11F5KW6QXHL8L,14,3207 2111 10558 10559 10560 9159 10904 11372 11602 11799 11698 11803 11637 11901,11804,11985
259,A11FDARSFVKU3C,4,2810 9966 10913 6037,4555,10440
260,A11FX8HL2ANK6T,9,798 6646 1774 6136 1519 5415 4503 5485 8143,4466,6041
261,A11FZ5BOXI32BB,4,4525 4520 8242 4464,4793,10995
262,A11GJ01Z12A1LA,3,6440 4186 2214,10203,4500
263,A11GKF6NQUFJLA,3,3588 5787 5789,5793,1809
264,A11GTC07Y5AMQL,5,594 2894 2980 3035 5012,831,2433
265,A11HLJWFG5DO8K,5,2869 3325 4020 7977 9304,9165,267
266,A11HWUM8WCI6EE,4,9217 9218 1025 1412,9304,2917
267,A11HXOFCYE85QE,4,2082 901 7098 11084,8023,8660
268,A11I1I9QLMAM1A,20,6640 3274 7531 10631 8089 8558 9368 9856 11415 7349 9533 3336 9498 10191 10815 11327 4542 11714 11765 11777,11235,11779
269,A11IE9721EPH5Y,4,222 4065 10982 1616,6760,899
270,A11IK5T1T7OXZK,4,3312 566 2181 5988,2638,9501
271,A11IS5O9BGZY4G,5,9621 9989 10131 10925 9368,10099,11214
272,A11IXJ8M1JO296,9,7994 2332 4637 851 3628 5761 7178 4357 5420,2102,334
273,A11J1FHCK5U06J,20,11993 11394 11989 12011 12029 12046 12001 12050 12035 11742 11880 11918 12063 11421 11872 12013 11603 12091 12092 12093,12074,12068
274,A11J2DFIKBZORN,4,7727 8743 3275 6232,6766,9534
275,A11J371X073P2D,3,5109 3298 8437,8826,9561
276,A11J3MU2WKOEWI,4,2474 6263 5691 1234,5690,490
277,A11JI4CX8C84OT,4,7466 4365 3770 3362,3772,11059
278,A11JOUAIMPY3XO,4,2948 2552 2787 6160,4193,11650
279,A11JWVCT7N93NH,7,1473 7700 386 389 6929 9470 2502,10288,8197
280,A11JXVZN2QCAMZ,4,2069 5048 10816 4085,9636,8156
281,A11K70GWSB7A5Z,6,5510 1622 6259 9594 2111 10704,9656,11622
282,A11KIUCGOCN4AO,6,5770 5192 8781 5220 663 9788,2873,3718
283,A11KKEOCPC0XEX,5,1674 4036 6915 3274 8957,8227,2292
284,A11KOKDIY4SAJW,5,81 3973 3992 4335 5192,6307,8597
285,A11KTJR5RL1F6,14,132 5151 9083 10480 10786 164 1520 4983 5196 11080 5172 9321 133 2986,6873,9121
286,A11L85WKR81T06,3,1155 1936 7981,3457,5586
287,A11LC938XF35XN,20,11872 11996 12071 12073 11742 11957 12014 12050 11832 11995 12080 11847 11853 11999 12091 12092 12093 11259 11601 11659,11919,11973
288,A11LGC72DJCXXZ,4,10198 7809 7976 10945,10105,8195
289,A11LJ8I7OAG5R6,3,7108 6618 5710,6192,8591
290,A11LNPG39A2ZV4,14,4152 4148 946 960 7295 2500 6620 6794 10775 10773 11810 11489 11711 2174,4898,11261
291,A11LNY2OLQSUSV,18,3248 3657 4049 4058 4040 5474 4651 8970 3888 8729 9459 10694 10696 10697 10699 10569 10695 10668,10691,10731
292,A11LZHTXDHSHA8,11,5151 7612 7316 9078 6483 6259 7273 7728 6449 9873 70,8737,4184
293,A11MKQ6JX6OBXV,10,8700 5324 5325 5962 9487 5963 9723 10316 4525 5334,7993,11450
294,A11MXYELJD4Y7,12,5250 7341 1426 10409 2683 7344 4719 8877 7424 1258 4520 6731,8801,11594
295,A11NX3HE31BYJC,5,663 2396 3229 5378 6797,4610,7294
296,A11NYM9RGQ95JA,3,1674 4663 8623,1107,3275
297,A11ORZY2L0CZCJ,5,1514 3139 6532 10123 2710,5426,4930
298,A11OTLEDSW8ZXD,20,10807 10983 10668 10691 10751 10752 10163 6388 5092 11056 10557 11768 11765 11714 11235 4463 11911 11898 11709 11711,12038,11598
299,A11PI8JNC3932W,11,1455 5360 7305 2707 1301 9048 240 7294 286 3493 11225,8874,9494
300,A11PK2MO25K5QW,6,3629 237 6857 17 11678 5266,6104,9667
301,A11PKTC7A95ST,5,8420 3050 2174 3681 8835,4081,6976
302,A11QB5XLY7WP2N,5,9040 9043 5318 8898 9999,11153,11214
303,A11QCKEY5MCRX2,18,4907 8264 7289 8566 8963 10603 2213 2647 3590 4747 5164 5518 7988 8255 8690 8740 9804 10984,11496,11722
304,A11QQBCJDEVW6G,6,3667 4934 2366 113 6518 5413,5579,4372
305,A11R627QB6F5A2,3,508 4386 1999,4619,6251
306,A11R9DNW0G9MO7,5,4705 9271 3246 8803 9079,3241,2006
307,A11RD2MRP3VE5K,4,1603 1727 2168 5532,2174,10435
308,A11RGJ7FG362MJ,3,1179 2929 5168,4916,9865
309,A11RWZH7LLY287,8,6376 6993 7169 7640 7723 8989 10283 10625,10634,8733
310,A11SPSEM08VIXX,3,1449 3335 4652,5967,8228
311,A11SWG9T60IQH8,20,4571 841 1027 5840 2377 3258 6432 5428 6300 7911 7074 9591 10401 2111 10299 10163 10697 10281 3855 11050,11054,11806
312,A11SXJ2H7IC8J7,5,3948 5966 5725 3835 5856,678,10686
313,A11T2FP0DNXRJZ,3,188 2283 6801,10369,10829
314,A11T2JHYTW3CJH,9,4630 8285 10286 4778 5842 3996 8428 2831 5978,7340,11571
315,A11TX2PRDMPP3W,4,3221 5526 5050 6364,2075,10117
316,A11U4AI9V0J4R9,6,2334 7580 3122 11000 9738 1825,2928,7608
317,A11U6Y77V1ZVSR,3,9849 9989 9290,8339,10659
318,A11UHLTO0PAIWR,6,2403 5438 2412 9182 3492 8273,10747,3129
319,A11UP4R7BO74AD,5,4152 5437 6959 7651 8026,9476,9528
320,A11UWNENP9S93E,8,7674 10690 8386 10373 10904 5150 9995 10375,10557,11229
321,A11VSA5HX18KSF,3,966 4605 6298,10113,9164
322,A11W10GPQ92NBF,6,4240 3811 3874 6726 4512 9361,9930,11275
323,A11W2ZN3VGJOAR,5,851 10290 10776 11052 11514,4312,9520
324,A11WYHDB1YEZOX,8,3456 7435 2485 1778 4363 1287 8448 590,11001,5781
325,A11X1K0H5TXY0V,3,5714 2512 8582,2200,6137
326,A11X3SZ6LESUM2,3,1822 8036 6209,7993,962
327,A11XAIFA10G7TS,10,3817 3560 683 4652 4344 4084 5232 3840 10302 3842,1740,4000
328,A11XGZ5H4NOQTN,4,8720 3134 8823 9925,10051,9529
329,A11XJ3LVXYP5WX,5,323 1301 6118 6647 8806,3176,8274
330,A11XT24G3PZ8CQ,4,6114 9586 10567 3700,10707,11803
331,A11Y1NMAMM89HA,4,7531 8123 9959 10165,10433,10525
332,A11Y3V1MSQ5Q1X,3,10847 9440 8060,10157,10617
