item_id,asin,l2_norm,mean,std,min,max,text_length
56,B000052YQ2,1.350977,0.000777,0.02985,-0.280793,0.297972,1260
57,B000052YQN,1.457977,-9e-05,0.032225,-0.253474,0.189998,86
58,B000052YQU,1.52465,0.000562,0.033694,-0.25755,0.22953,152
59,B000052Z5B,1.366854,0.001035,0.030193,-0.28001,0.210076,241
60,B000052Z8D,1.383706,0.000832,0.030572,-0.271303,0.247165,436
61,B000052ZB1,1.343615,0.000404,0.029694,-0.30033,0.248331,517
62,B000052ZB2,1.360737,1.8e-05,0.030076,-0.277341,0.275698,467
63,B000052ZB4,1.315641,0.000131,0.029079,-0.288397,0.262831,605
64,B000052ZBD,1.405272,4.1e-05,0.03106,-0.309909,0.284682,461
65,B000052ZBH,1.350096,0.000367,0.029838,-0.264124,0.235852,634
66,B000052ZBP,1.447515,0.000156,0.031993,-0.337418,0.21088,334
67,B000052ZTY,1.209108,0.000262,0.026723,-0.30098,0.258328,658
68,B00005302B,1.364791,0.000299,0.030164,-0.27283,0.302387,649
69,B00005304H,1.454627,-0.000119,0.032151,-0.405758,0.22245,1118
70,B0000530ED,1.30532,0.000327,0.028849,-0.289674,0.208174,2912
71,B0000530EZ,1.484659,-0.000141,0.032814,-0.231433,0.158116,99
72,B0000530G6,1.484327,0.000162,0.032807,-0.244764,0.166383,91
73,B0000530LO,1.487652,0.000212,0.03288,-0.258356,0.182278,82
74,B0000530LP,1.490866,0.000286,0.032951,-0.247942,0.169186,71
75,B0000530LV,1.327095,0.000582,0.029326,-0.282256,0.306342,673
76,B0000530M0,1.353267,0.000175,0.02991,-0.233934,0.170529,103
77,B0000530NA,1.477312,0.000257,0.032651,-0.34987,0.228923,429
78,B0000530O9,1.381672,0.000455,0.030535,-0.311407,0.198289,367
79,B0000531GD,1.283755,0.000796,0.028363,-0.252501,0.192473,298
80,B0000531GV,1.417582,0.000776,0.031322,-0.290253,0.195126,288
81,B0000531II,1.39212,0.000545,0.030764,-0.276952,0.213638,240
82,B0000531NU,1.173688,0.000427,0.025938,-0.207282,0.19305,455
83,B0000531SW,1.519382,0.000204,0.033581,-0.345901,0.197048,163
84,B0000531WZ,1.486462,0.000577,0.032849,-0.289991,0.210373,114
85,B00005321Z,1.305851,0.000629,0.028856,-0.322736,0.258635,495
86,B0000532AN,1.281032,0.000278,0.028313,-0.286997,0.240092,1681
87,B0000532VT,1.48507,-0.000317,0.032822,-0.351209,0.180761,794
88,B0000532YN,1.365965,-6.9e-05,0.030191,-0.299551,0.237429,503
89,B00005333G,1.425491,0.000412,0.031504,-0.294396,0.259844,397
90,B00005333I,1.382904,0.00095,0.030551,-0.323606,0.216412,522
91,B0000533CC,1.239773,0.000159,0.027402,-0.275995,0.229266,2849
92,B0000534VO,1.278773,0.000224,0.028263,-0.263436,0.233203,388
93,B0000535CH,1.230631,0.000554,0.027194,-0.285653,0.159674,2719
94,B0000535OF,1.284288,-0.000119,0.028386,-0.269983,0.176799,593
95,B0000535RA,1.41694,0.000121,0.031318,-0.333683,0.256202,464
96,B0000535RC,1.311221,0.0005,0.028977,-0.299061,0.256784,616
97,B0000535RD,1.295487,0.000531,0.028629,-0.278155,0.224271,602
98,B0000535U2,1.194675,0.000884,0.02639,-0.339494,0.269972,1043
99,B0000535UA,1.185133,0.00059,0.026188,-0.32758,0.272495,994
100,B0000535UM,1.163141,0.00068,0.025699,-0.321898,0.266766,1008
101,B0000535UN,1.397572,3.2e-05,0.03089,-0.335698,0.252132,464
102,B0000535UT,1.239205,0.000202,0.027389,-0.257029,0.228667,749
103,B0000535UX,1.17525,0.000571,0.02597,-0.322542,0.267231,1033
104,B0000535VH,1.214722,-5.1e-05,0.026848,-0.2833,0.192395,1112
105,B000053676,1.398153,0.001015,0.030886,-0.305274,0.273805,412
106,B0000536A3,1.340858,0.000846,0.029624,-0.287365,0.194204,260
107,B0000536EK,1.413574,-0.000531,0.031239,-0.33647,0.214984,541
108,B0000536EW,1.425626,0.000523,0.031506,-0.324064,0.228784,296
109,B0000536F0,1.430878,0.000265,0.031625,-0.326615,0.232438,377
110,B0000536M2,1.296273,0.000429,0.028648,-0.267969,0.189391,358
111,B0000536M3,1.280194,0.000392,0.028293,-0.2405,0.194601,641
112,B0000536P3,1.445239,-9.8e-05,0.031943,-0.28575,0.26316,962
113,B0000536P4,1.400213,0.000333,0.030946,-0.283871,0.247927,1020
114,B00005375C,1.357157,0.000679,0.029989,-0.309051,0.218138,946
115,B0000537NH,1.456846,0.000711,0.032192,-0.334978,0.226541,342
116,B0000537SD,1.242138,7.7e-05,0.027454,-0.237373,0.247603,1028
117,B000053L6W,1.461128,0.000398,0.032292,-0.313796,0.257108,350
118,B000056I89,1.228216,0.000455,0.027143,-0.232194,0.233626,472
119,B000056W5Y,1.289188,0.000251,0.028493,-0.29749,0.156277,276
120,B000056W74,1.307927,7.3e-05,0.028908,-0.256274,0.176171,347
121,B00005A43X,1.197482,0.000414,0.026464,-0.279102,0.256413,794
122,B00005A443,1.181968,0.000612,0.026117,-0.26412,0.224571,833
123,B00005A9WP,1.200436,0.000468,0.026528,-0.27726,0.273577,977
124,B00005AVC7,1.30192,0.000401,0.028773,-0.289682,0.270225,463
125,B00005B9FV,1.269534,0.000159,0.028059,-0.251429,0.254908,727
126,B00005CDSP,1.127491,0.000148,0.02492,-0.282306,0.261129,994
127,B00005IBW0,1.50115,-1e-06,0.033179,-0.273789,0.230994,109
128,B00005LBRT,1.382064,0.001101,0.030527,-0.308779,0.371583,873
129,B00005NAOD,1.30831,0.000207,0.028916,-0.280179,0.280948,688
130,B00005NAOJ,1.300411,0.000516,0.028738,-0.307992,0.231388,472
131,B00005NASR,1.47804,0.000444,0.032665,-0.355337,0.288316,473
132,B00005NFBD,1.206616,0.000231,0.026668,-0.255147,0.251504,790
133,B00005NFBJ,1.336908,0.000164,0.029549,-0.264712,0.260077,399
134,B00005O0MZ,1.106866,0.000644,0.024456,-0.231283,0.237866,1025
135,B00005R1H2,1.195959,-1.4e-05,0.026434,-0.258167,0.210192,985
136,B00005R1H3,1.180416,0.000421,0.026087,-0.256293,0.169321,962
137,B00005REAQ,1.357041,0.000467,0.02999,-0.24279,0.205953,264
138,B00005REAT,1.409182,0.000783,0.031137,-0.278577,0.315129,427
139,B00005S81T,1.168062,0.000447,0.025813,-0.252337,0.175253,927
140,B00005T83D,1.226692,0.000225,0.027112,-0.281081,0.228226,589
141,B00005TZU8,1.239806,0.000371,0.0274,-0.270182,0.254718,761
142,B00005UN90,1.512056,-0.000199,0.03342,-0.293018,0.184239,92
143,B00005UQSP,1.234568,0.000438,0.027283,-0.252281,0.231893,774
144,B00005V5OU,1.387913,0.000569,0.030671,-0.311207,0.215716,564
145,B00005V5OW,1.288082,0.000407,0.028467,-0.257869,0.178688,370
146,B00005V5P6,1.276838,0.000394,0.028219,-0.22939,0.190754,211
147,B0000632EE,1.151896,0.000202,0.025459,-0.255716,0.259705,8152
148,B0000632EN,1.492158,0.000549,0.032976,-0.334488,0.276621,527
149,B00006598X,1.345364,0.000188,0.029735,-0.28008,0.280548,550
150,B000065DJY,1.206436,0.000281,0.026664,-0.275548,0.196178,843
151,B000065DK4,1.128605,0.000201,0.024944,-0.312257,0.254481,771
152,B000066CKS,1.351845,0.000664,0.029872,-0.301001,0.265178,1709
153,B0000682T7,1.2711,0.000194,0.028094,-0.302618,0.227861,742
154,B0000683O5,1.382886,0.000633,0.030559,-0.281073,0.270833,392
155,B000068U49,1.357205,0.000533,0.029993,-0.254061,0.208212,230
156,B00006FDU6,1.21825,0.000512,0.026921,-0.276538,0.242663,844
157,B00006FE30,1.480299,0.000651,0.032712,-0.260026,0.176875,112
158,B00006FRW7,1.351853,0.000377,0.029877,-0.26179,0.271731,1168
159,B00006IGL3,1.27871,-0.000189,0.028262,-0.301908,0.206323,721
160,B00006IGL8,1.381801,-4.2e-05,0.030541,-0.317512,0.249488,466
161,B00006IV22,1.129023,0.000212,0.024953,-0.260779,0.219585,677
162,B00006IV2E,1.259775,0.000697,0.027835,-0.285821,0.208432,547
163,B00006IV2F,1.524118,0.000697,0.03368,-0.373068,0.204103,366
164,B00006IV30,1.387208,0.00017,0.03066,-0.317207,0.232318,523
165,B00006JN4F,1.411059,0.000275,0.031187,-0.342537,0.222173,2694
166,B00006JT6O,1.279006,0.000313,0.028267,-0.260789,0.223414,996
167,B00006K14U,1.538262,0.001078,0.033982,-0.262499,0.214768,107
168,B00006L9KV,1.328898,-0.000354,0.02937,-0.261375,0.27126,759
169,B00006L9KW,1.359494,-0.000509,0.030044,-0.281001,0.189198,807
170,B00007FCQ1,1.339876,0.000797,0.029604,-0.307873,0.235341,540
171,B00007KQF3,1.338835,-1.8e-05,0.029592,-0.314794,0.273153,651
172,B00007M0CP,1.220212,0.000151,0.026969,-0.271281,0.269478,1051
173,B000087L6T,1.401128,-9.1e-05,0.030968,-0.245468,0.177619,146
174,B000089SA4,1.651811,0.000171,0.036509,-0.428737,0.25028,1163
175,B00008BNZ4,1.310482,0.000456,0.028961,-0.347011,0.200534,2925
176,B00008CMOQ,1.274922,-0.000309,0.028177,-0.296414,0.250609,975
177,B00008CMOR,1.255982,-0.000304,0.027759,-0.285326,0.235507,982
178,B00008CMOS,1.238479,-0.000198,0.027373,-0.295427,0.244827,963
179,B00008DPP8,1.374269,-0.000196,0.030374,-0.263325,0.260865,446
180,B00008J2XQ,1.354892,0.000273,0.029945,-0.28864,0.250558,458
181,B00008KA7P,1.40044,-0.0,0.030953,-0.215655,0.185688,96
182,B00008KA8D,1.212982,0.000322,0.026808,-0.243621,0.191211,423
183,B00008MNZH,1.62575,0.001193,0.035913,-0.27785,0.207629,149
184,B00008MOQE,1.251263,0.000622,0.027649,-0.24626,0.19875,362
185,B00008MOQJ,1.292622,0.000678,0.028562,-0.247061,0.214843,353
186,B00008MOQN,1.252553,0.00065,0.027677,-0.247915,0.203078,373
187,B00008O2X5,1.404029,0.000449,0.031029,-0.302321,0.248373,414
188,B00008PC1O,1.145097,0.000361,0.025307,-0.215292,0.27043,498
189,B00008ZPG9,1.658312,0.000737,0.036645,-0.304174,0.217378,124
190,B00008ZPGA,1.634584,0.000665,0.036122,-0.291456,0.204495,101
191,B000092OX4,1.290014,0.000886,0.028499,-0.249818,0.251917,1070
192,B000093A0U,1.150025,0.000351,0.025416,-0.270822,0.244233,702
193,B000093I60,1.304887,-9.3e-05,0.028841,-0.26177,0.251059,919
194,B000094Q6C,1.215994,0.000766,0.026866,-0.332733,0.251313,1693
195,B000094ZDX,1.446946,0.000502,0.031977,-0.344319,0.219303,201
196,B0000950LF,1.251525,0.000265,0.027661,-0.300033,0.228715,2231
197,B000095SDS,1.61922,-0.000218,0.035788,-0.273046,0.168151,112
198,B00009WO0W,1.103522,0.000369,0.024388,-0.225003,0.200943,912
199,B0000AFUTL,1.271498,0.000317,0.028101,-0.326392,0.313862,919
200,B0000AJ3PT,1.352014,0.000273,0.029882,-0.268181,0.270206,884
201,B0000AJ3PU,1.279748,-6e-05,0.028286,-0.257344,0.23007,599
202,B0000AJ3Q3,1.391062,-0.000168,0.030745,-0.27648,0.202886,1627
203,B0000AN9L9,1.264664,0.000653,0.027945,-0.285565,0.198696,661
204,B0000AS54S,1.282499,0.000255,0.028345,-0.279805,0.287064,570
205,B0000BV14G,1.395493,0.000813,0.030833,-0.333278,0.240323,408
206,B0000C0XL8,1.188058,-0.00035,0.026257,-0.24871,0.190124,997
207,B0000C4COV,1.12055,0.000129,0.024767,-0.208416,0.186132,761
208,B0000CC64W,1.529039,0.00101,0.03378,-0.253941,0.206802,152
209,B0000CDVN6,1.655305,6.7e-05,0.036586,-0.44652,0.248446,1452
210,B0000CNR0E,1.27486,0.000569,0.028172,-0.270058,0.24971,553
211,B0000CNR0J,1.210136,0.000367,0.026744,-0.289699,0.245106,821
212,B0000UJJH0,1.439969,-0.000134,0.031827,-0.330065,0.181873,240
213,B0000UTUS8,1.302216,1.5e-05,0.028782,-0.28411,0.263661,549
214,B0000UTUVU,1.475509,0.000117,0.032612,-0.327035,0.307877,409
215,B0000UTUW4,1.41092,0.000236,0.031184,-0.314888,0.252108,346
216,B0000VC1YC,1.494883,0.000153,0.03304,-0.346256,0.29397,382
217,B0000XMQTA,1.479396,0.000167,0.032698,-0.325046,0.242459,285
218,B0000Y3C3I,1.222653,0.000343,0.027021,-0.265446,0.228543,913
219,B0000Y3COC,1.202129,0.000122,0.02657,-0.2568,0.197166,503
220,B0000Y3CRY,1.450334,0.000511,0.032052,-0.297425,0.204699,134
221,B0000Y3CSI,1.319864,0.0003,0.029171,-0.308517,0.271906,665
222,B0000Y3D4G,1.42762,0.000793,0.031544,-0.314495,0.200702,222
223,B0000Y3D4Q,1.380578,0.000392,0.030512,-0.357501,0.224103,805
224,B0000Y3DAK,1.408368,0.000469,0.031125,-0.302718,0.213361,419
225,B0000Y3FQC,1.164783,-0.00046,0.02574,-0.322276,0.191626,1172
226,B0000Y3FRG,1.302418,0.000328,0.028785,-0.309304,0.199943,334
227,B0000Y3GF2,1.247724,0.001002,0.02756,-0.265705,0.186892,391
228,B0000Y3GIE,1.440066,0.000327,0.031827,-0.327741,0.267595,607
229,B0000Y3LAC,1.550462,0.000175,0.034269,-0.309735,0.247184,158
230,B0000Y8H3S,1.236606,0.000442,0.027328,-0.286407,0.24645,2967
231,B0000YUWY0,1.354422,0.000182,0.029936,-0.303964,0.209954,537
232,B0000YUX4O,1.356931,0.000612,0.029985,-0.287619,0.162571,172
233,B0000YUXGW,1.262243,-1.3e-05,0.027899,-0.277196,0.250199,514
234,B0000YUXI0,1.349506,0.000686,0.02982,-0.284251,0.231479,258
235,B0000YV6BI,1.439711,0.000489,0.031817,-0.341964,0.209361,216
236,B0000YV6YK,1.232434,5.7e-05,0.02724,-0.251596,0.156875,325
237,B0000YV83O,1.371297,2.6e-05,0.030309,-0.277908,0.211787,338
238,B0000ZHH5G,1.61707,0.000517,0.035738,-0.402762,0.281324,456
239,B0000ZHOEU,1.336164,0.000403,0.02953,-0.284287,0.174044,301
240,B0000ZLEFU,1.386486,0.000636,0.030638,-0.277492,0.190376,183
241,B0000ZLEX2,1.558461,0.000654,0.03444,-0.2761,0.188285,164
242,B00011JI88,1.376349,0.000445,0.030417,-0.279466,0.257246,563
243,B00011JOQY,1.201514,0.000233,0.026555,-0.262317,0.197306,426
244,B00011JOR8,1.229665,-0.000302,0.027177,-0.2875,0.153317,293
245,B00011JTFA,1.760288,0.000569,0.038903,-0.303795,0.215038,76
246,B00011QTZI,1.396791,0.000348,0.030871,-0.344292,0.239304,558
247,B00011QUDE,1.35945,0.000224,0.030046,-0.273209,0.18412,277
248,B00011QUKW,1.335768,0.000338,0.029522,-0.27681,0.221785,288
249,B00011QVHO,1.494059,0.000573,0.033017,-0.358205,0.22132,200
250,B00011QVIS,1.368804,0.000458,0.030251,-0.32907,0.244872,476
251,B00011QVUG,1.650224,0.001246,0.036453,-0.305914,0.180029,116
252,B000127UUA,1.286733,0.000416,0.028437,-0.301807,0.278758,1379
253,B000127UVY,1.22821,0.000249,0.027145,-0.283152,0.227153,1387
254,B000127VFE,1.269612,4.8e-05,0.028062,-0.3139,0.232949,1249
255,B00012NEYG,1.287335,0.000139,0.028453,-0.284806,0.310754,528
256,B00012NI7E,1.273841,0.000253,0.028154,-0.28969,0.203521,501
257,B00012NJZA,1.30018,0.000438,0.028734,-0.289994,0.229809,679
258,B00012NKGS,1.392952,0.000438,0.030785,-0.275947,0.18888,148
259,B000136P7S,1.329315,-3.7e-05,0.029381,-0.296013,0.23612,1317
260,B00013TQRE,1.277911,0.000736,0.028235,-0.289594,0.276396,3772
261,B00013YYS0,1.376278,0.000173,0.030419,-0.232095,0.207739,187
262,B00013YZ7U,1.567462,0.000892,0.034633,-0.293411,0.200844,109
263,B00013Z15A,1.331149,8.2e-05,0.029422,-0.280192,0.249056,1118
264,B000141O6E,1.437666,-0.000343,0.031774,-0.286341,0.211684,204
265,B000142AZ8,1.306117,0.000373,0.028866,-0.263931,0.224193,474
266,B000142C1A,1.326094,0.000863,0.029297,-0.358683,0.249638,667
267,B000142FVW,1.322361,0.000535,0.029223,-0.271276,0.224326,303
268,B000142JDG,1.30304,0.000734,0.028791,-0.277291,0.209419,326
269,B000142KZ8,1.554698,-0.000273,0.034362,-0.328557,0.240964,168
270,B000142MGA,1.50987,0.000325,0.03337,-0.224903,0.184445,245
271,B000142NDC,1.37669,0.000463,0.030425,-0.331266,0.290658,633
272,B000142OZY,1.295816,0.000166,0.02864,-0.304406,0.235874,556
273,B000142P12,1.419415,0.00017,0.031372,-0.314031,0.223009,297
274,B000142PUS,1.325352,0.000153,0.029293,-0.283096,0.253434,611
275,B000142Q6G,1.292704,0.000232,0.028571,-0.278492,0.184509,240
276,B000142TU4,1.339139,0.00015,0.029598,-0.274233,0.200296,297
277,B000142U9E,1.298847,0.000169,0.028707,-0.26826,0.208996,699
278,B000142ZFS,1.550662,0.000503,0.03427,-0.307515,0.214582,195
279,B0001431AG,1.510123,0.000919,0.033365,-0.301932,0.180043,138
280,B0001432S2,1.441208,6.8e-05,0.031854,-0.293326,0.198913,208
281,B0001433OU,1.361033,0.000961,0.030067,-0.305627,0.187354,313
282,B0001433VI,1.383056,0.000617,0.030563,-0.26045,0.198655,309
283,B000143AY8,1.35629,0.000237,0.029976,-0.302543,0.203048,358
284,B000143CFA,1.501914,0.001052,0.033179,-0.293528,0.22139,283
285,B000143K2A,1.246451,8e-05,0.02755,-0.233404,0.163496,245
286,B000143O7G,1.280415,-0.000136,0.0283,-0.285801,0.273442,633
287,B000146L62,1.177974,0.000516,0.026031,-0.282225,0.218529,1077
288,B000146LKS,1.146916,0.000462,0.025345,-0.268338,0.223189,1074
289,B00014D138,1.162015,0.000641,0.025675,-0.31953,0.252706,1069
290,B00014D1OW,1.397646,0.000518,0.030887,-0.343834,0.264356,1076
291,B00014D322,1.197969,-1.7e-05,0.026478,-0.233932,0.170185,858
292,B00014D5O8,1.24233,0.000503,0.027454,-0.259413,0.28583,581
293,B00014DGCO,1.247148,8.6e-05,0.027565,-0.276104,0.247225,1103
294,B00014DIKE,1.208648,0.000358,0.026712,-0.262015,0.26765,668
295,B00014DKKC,1.321526,0.000437,0.029206,-0.283654,0.225778,352
296,B00014DM5K,1.509772,0.000495,0.033366,-0.382638,0.258049,1121
297,B00014DMQE,1.407523,0.000319,0.031108,-0.242699,0.192696,174
298,B00014DMRI,1.353432,0.00051,0.02991,-0.323475,0.226528,685
299,B00014DMUA,1.34974,0.000372,0.02983,-0.282799,0.212766,480
300,B00014DTY4,1.50748,-8.2e-05,0.033319,-0.311456,0.190617,160
301,B00014DU6G,1.350645,0.000976,0.029837,-0.293643,0.262894,1108
302,B00014DZ2K,1.516634,0.001561,0.033485,-0.228468,0.161395,167
303,B00014EH2C,1.290219,0.000427,0.028514,-0.297845,0.181369,399
304,B00014EKJC,1.301923,0.000479,0.028772,-0.315619,0.223515,959
305,B00014FTTM,1.144664,0.000197,0.025299,-0.214332,0.152295,227
306,B00014GT78,1.365643,0.000769,0.030174,-0.224764,0.166165,108
307,B00014GTWS,1.289566,0.000128,0.028502,-0.313515,0.267328,575
308,B00014HF94,1.275202,0.000188,0.028185,-0.236065,0.195939,502
309,B00014JKG0,1.410786,-0.000109,0.031182,-0.299907,0.194732,235
310,B00014JOHA,1.164038,2.2e-05,0.025728,-0.20051,0.231566,1243
311,B00014WW38,1.358717,0.000804,0.03002,-0.311196,0.235364,2104
312,B00015GWQU,1.471809,0.000415,0.032528,-0.253528,0.208181,279
313,B00015HBD8,1.296914,-3.3e-05,0.028665,-0.285918,0.162685,338
314,B00015HBEC,1.295861,0.00053,0.028637,-0.298391,0.248594,453
315,B00015HBEM,1.365884,0.000813,0.030178,-0.319215,0.220242,380
316,B00015XAQ0,1.341712,0.001077,0.029636,-0.307881,0.359182,929
317,B00016QYOO,1.300595,0.000291,0.028745,-0.269004,0.312992,1059
318,B00016RIIA,1.292534,2.1e-05,0.028568,-0.273748,0.251503,344
319,B00016WSIK,1.273162,0.000246,0.028139,-0.300012,0.270826,1099
320,B00016WUEW,1.303168,9e-05,0.028803,-0.281439,0.264883,696
321,B00016WULK,1.34712,0.001317,0.029746,-0.297001,0.347964,882
322,B00016WV6E,1.347289,0.000641,0.029772,-0.310091,0.244104,631
323,B00016WW8Q,1.236038,-0.00013,0.027319,-0.249534,0.163149,265
324,B00016WXEY,1.356085,0.000121,0.029973,-0.318337,0.23287,254
325,B00016X06O,1.431068,0.000305,0.031629,-0.347523,0.242379,708
326,B00016X3G6,1.588944,0.000805,0.03511,-0.366823,0.256258,370
327,B00016X3L6,1.339996,-0.000101,0.029617,-0.302523,0.255066,684
328,B00016X604,1.407569,-0.000118,0.031111,-0.330609,0.192017,222
329,B00016X68Q,1.229284,0.000524,0.027165,-0.336992,0.2625,607
330,B00016XJ4M,1.447629,0.000754,0.031987,-0.344178,0.286282,2035
331,B00016XJ7O,1.343855,0.000761,0.029693,-0.262205,0.220311,720
332,B00016XJ8S,1.354488,0.000417,0.029935,-0.30483,0.254397,702
333,B000172R76,1.27308,0.000947,0.028122,-0.217786,0.147724,273
334,B000177FXW,1.388475,0.000581,0.030683,-0.310493,0.218926,564
335,B00017XWJ8,1.390446,0.000678,0.030725,-0.337465,0.207322,266
336,B000186X4I,1.580682,0.000274,0.034936,-0.286242,0.200812,204
337,B000195GAY,1.57855,0.000669,0.034883,-0.28847,0.226639,168
338,B000196U04,1.221366,0.000442,0.026992,-0.246536,0.199128,477
339,B0001AGMWE,1.183869,0.001152,0.026141,-0.250414,0.226419,626
340,B0001AQCII,1.420572,0.000722,0.03139,-0.302553,0.221726,345
341,B0001B86HM,1.313575,0.000548,0.029028,-0.27657,0.216352,622
342,B0001EKTZQ,1.337824,0.000107,0.029569,-0.313502,0.211246,340
343,B0001EKWPI,1.339232,0.00044,0.029597,-0.290784,0.205576,735
344,B0001EKYL0,1.328507,6.2e-05,0.029363,-0.32259,0.245138,641
345,B0001EL0CW,1.621504,-0.000607,0.035834,-0.358861,0.181196,131
346,B0001EL5R2,1.403199,0.000756,0.031005,-0.257131,0.168475,128
347,B0001EL658,1.386723,0.000628,0.030644,-0.318284,0.260855,547
348,B0001FF80G,1.438855,0.000864,0.031791,-0.227695,0.187697,135
349,B0001I8ZT4,1.480825,0.00015,0.03273,-0.296086,0.183548,125
350,B0001LH6YG,1.50447,0.001167,0.033232,-0.308873,0.291103,380
351,B0001M3K4U,1.392782,0.000845,0.030772,-0.287593,0.198739,221
352,B0001M7D7A,1.316834,0.000244,0.029104,-0.255096,0.161164,235
353,B0001MC06Y,1.394159,0.000595,0.030809,-0.30774,0.224405,473
354,B0001MROQA,1.3633,0.000433,0.030129,-0.30472,0.236962,842
355,B0001TJX2Q,1.370959,-0.000122,0.030301,-0.303903,0.224406,373
356,B0001TMDF0,1.29034,-0.000146,0.028519,-0.279905,0.189274,276
357,B0001TO3NA,1.385433,0.000383,0.030619,-0.280163,0.223543,311
358,B0001TODNK,1.368354,-0.000141,0.030244,-0.325429,0.253503,569
359,B0001TOH8G,1.443792,0.000244,0.03191,-0.319517,0.243154,341
360,B0001TQ5MW,1.422288,0.000195,0.031435,-0.306758,0.266772,458
361,B0001TQ9WI,1.190347,2.4e-05,0.02631,-0.285207,0.250574,665
362,B0001TSJPI,1.263084,0.000269,0.027916,-0.249859,0.185241,209
363,B0001TSWWS,1.47957,0.000903,0.03269,-0.301491,0.246412,820
