item_id,asin,item_text,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
18,B000052XYQ,DHS Clear Shampoo 8 Fl Oz Person &amp; Covey Recommended by DermatologistsDHS&trade; Clear contains a unique blend of sp,0.041086,0.017122,-0.013703,0.030068,-0.023717,-0.030323,0.008547,-0.004595,-0.03192,-0.03822,0.01088,0.004276,-0.013719,0.011983,0.023442,-0.012362
19,B000052XZP,"Neutrogena T-Gel Shampoo, Stubborn Itch Control, 4.4 Ounce Neutrogena Shampoos Beauty Hair Care",0.030077,0.02142,0.03254,0.035654,0.004221,0.012203,0.043897,0.021455,-0.022115,-0.023158,0.002708,-0.002401,0.007827,0.027731,0.008105,-0.003359
20,B000052XZX,"Neutrogena T/Sal Shampoo, Scalp Build-up Control, 4.5 fl oz Neutrogena Clears and helps prevent flakes and scalp build-u",0.015164,0.028246,0.030766,0.024496,-0.040608,0.006506,-0.0081,-0.004999,-0.043237,-0.028795,-0.012424,-0.003343,0.001533,-0.020523,-0.01636,-0.009293
21,B000052Y25,DHS Conditioning Rinse With Panthenol 8 fl oz DHS DHS Conditioning Rinse is specially formulated for dermatological hair,0.026169,0.033862,0.023293,0.02434,-0.021757,-0.020652,-0.003334,-0.009081,-0.033794,-0.020747,0.012451,0.004724,-0.026101,-0.012145,0.008742,-0.022227
22,B000052Y33,"Alberto VO5 Moisturizing Hot Oil Treatment, 0.5 Ounce, 2-Count Tubes (Pack of 6) Alberto VO5 Restores moisture and drama",0.035946,0.005512,0.015384,0.011794,-0.028612,-0.002736,-0.015406,0.009771,-0.033149,-0.019789,0.026837,0.003171,-0.003343,-0.01066,-0.005234,-0.016562
23,B000052Y5F,Konsyl Pharmaceuticals Psyllium Fiber 15.9 oz KONSYL PHARMACEUTICALS Natural fiber therapy bulk-forming laxativevery low,0.046239,0.02164,-0.001407,0.023229,-0.040534,-0.012604,-0.01226,0.009556,-0.048576,-0.027999,0.019128,0.003656,0.004445,-0.01062,-0.002639,-0.026299
24,B000052Y6Z,"Williams Lectric Shave Electric Razor Pre-Shave, Original, 3 fl oz Lectric Shave ELECTRIC RAZOR PRE-SHAVE Moisturizers B",-0.025899,0.00903,0.016081,0.038354,-0.010176,0.007218,-0.005496,0.010542,-0.041795,-0.002732,0.013828,0.00548,0.022759,0.018271,0.011734,-0.034351
25,B000052YJC,"Buf-Puf Double-Sided Body Sponge - 1 ea Buf-Puf The secret to really polished, smooth, attractive skin is exfoliation (t",0.01052,0.008677,0.006298,0.024659,-0.025906,0.007816,-0.000836,0.008157,-0.031282,0.007552,-0.018336,0.000121,-0.001938,0.000726,-0.007551,-0.022756
26,B000052YJD,"Buf-Puf Reusable Facial Sponge, Extra Gentle, - 1 ea Buf-Puf One Facial SpongeFor daily cleansing of sensitive skin.Thor",0.011645,0.002734,0.022125,0.021972,-0.034122,0.009016,-0.006484,0.02629,-0.041565,-0.034446,0.002344,0.004477,0.006989,0.007845,-0.011878,-0.036567
27,B000052YJH,Buf-Puf Reusable Facial Sponge (Pack of 6) Buf-Puf Thoroughly cleans and refreshes your skin. Use every day with your fa,0.023798,0.024506,0.02589,0.041961,-0.0281,0.00292,0.002984,0.031447,-0.046545,-0.032809,0.010815,0.011048,0.019758,0.015914,-0.005388,-0.036914
28,B000052YJM,"Clean &amp; Clear ESSENTIALS Dual Action Moisturizer, 4 Ounce Clean &amp; Clear Salicylic acid acne medication Moisturiz",0.03138,0.029806,0.035626,0.040913,-0.023511,0.008054,-0.013297,0.004858,-0.029009,-0.02022,0.025104,-0.011229,0.014858,0.001341,-0.036554,-0.036756
29,B000052YJX,"Neutrogena OntheSpot Acne Treatment, Vanishing Formula, 0.75 Ounce Neutrogena OntheSpot Acne Treatment is a spot acne tr",0.006936,0.021931,0.023964,0.032713,-0.012197,0.00459,0.002072,0.002073,-0.039186,0.005217,0.013086,0.003657,-0.00244,0.028233,-0.029321,-0.000633
30,B000052YKI,Purpose Dual Treatment Moisture Lotion with SPF 15 4 fl oz (120 ml) Purpose This water-based moisturizing formula filter,0.029745,0.024547,0.021367,0.021483,-0.019469,-0.010834,0.006322,0.005688,-0.054209,-0.024709,0.023082,-0.005556,-0.006681,0.01747,-0.003366,-0.026612
31,B000052YKM,"Stri-Dex Medicated Pads, Maximum Strength, 90-Count Containers, (Pack of 3) Stri-Dex Super size pads to clean more dirt,",0.046272,0.030046,0.011724,0.02877,-0.007666,0.00409,0.006562,0.006449,-0.05214,-0.011888,0.011912,0.013956,0.020762,0.019601,0.001277,-0.001506
32,B000052YKS,"Basis Cleaner Clean Face Wash, 6 Fluid Ounces Basis Deep cleans + refreshes. 100% Oil-free and soap-free gel with gentle",0.038001,0.03977,0.015426,0.050805,-0.030336,-0.008408,0.006079,0.0323,-0.026602,-0.038299,0.02631,-0.008248,-0.006941,0.009597,-0.000549,-0.047757
33,B000052YKY,"Cetaphil Gentle Cleansing Bar, Antibacterial - 4.5 oz Cetaphil Gentle antibacterial cleansing bar for dry, sensitive ski",0.018054,0.020926,-0.001127,0.022551,-0.019032,0.007035,-0.012818,0.006785,-0.010042,-0.044839,0.015158,-0.012513,0.01035,-0.010439,0.005307,-0.025461
34,B000052YL1,"Cuticura Medicated Anti-Bacterial Bar Soap, Original Formula - 5.25 oz bar Cuticura For Blemish/Acne-Prone SkinRecommend",0.018452,0.020225,0.009587,0.02503,-0.030419,0.007007,-0.003614,-0.004323,-0.034478,-0.025113,0.001033,-0.014174,0.005159,-0.008147,-0.000365,-0.010888
35,B000052YLX,Purpose Gentle Cleansing Bar 6 oz (170 g) Purpose Dermatologist recommended. Oil-free. Hypoallergenic. Won't clog pores.,0.033601,0.023267,-0.01464,0.029028,-0.026914,0.023015,-0.000872,0.006428,-0.02064,-0.053959,0.001805,-0.011747,-0.006929,-0.008659,0.016836,-0.035421
36,B000052YM0,Fruit Of The Earth 100% Aloe Vera 6oz. Gel Tube Fruit of the Earth Non-Oily Moisturizer Provides Effective Relief From S,0.014063,0.045551,0.043261,0.063843,-0.017995,0.008264,-0.010374,0.004251,-0.036187,-0.027922,-0.002887,-0.011383,0.025523,0.014959,-0.006039,-0.048363
37,B000052YM3,Alpha Hydrox AHA Enhanced Cream 2 oz. Alpha Hydrox 10% AHA Anti-Wrinkle TreatmentRecommended For:&nbsp;All Skin Types Ex,0.018386,0.009019,0.00434,0.035431,-0.003969,0.004814,-0.004364,0.005355,-0.035093,-0.01836,0.003313,0.000778,0.006076,0.007648,-0.017121,-0.041854
38,B000052YM4,Alpha Hydrox Foaming Face Wash -- 6 fl oz Alpha Hydrox This wonderfully sudsy foaming cleanser gently but thoroughly rem,0.031417,0.020241,0.011531,0.039769,-0.011306,-0.00264,-0.00745,0.013374,-0.027657,-0.022863,0.014867,0.003733,-0.00888,0.011008,-0.006053,-0.031774
39,B000052YM7,Alpha Hydrox Enhanced Lotion 10 percent Glycolic AHA -- 6 fl oz Anti-Wrinkle Alpha Hydrox Concentrated pure glycolic aci,0.027265,0.020585,0.010981,0.028001,-0.022958,-0.010832,-0.015289,0.006422,-0.040471,-0.005625,0.021494,-0.004077,0.007488,0.007913,-0.029356,-0.030635
40,B000052YM8,Alpha Hydrox Oil Free Treatment 10 Percent AHA 1.7 fl oz. Alpha Hydrox If you're looking for a concentrated alpha hydrox,0.025954,0.0066,-0.004816,0.029136,-0.014518,0.004915,-0.022718,0.007716,-0.028991,-0.002693,0.014689,-0.012457,0.004359,0.003602,-0.024934,-0.020475
41,B000052YMG,Aquanil Cleanser 16 fl oz. Aquanil For Sensitive SkinNon-ComedogenicHypoallergenicFragrance FreeRecommended by Dermatolo,0.021962,0.021584,0.002617,0.043827,-0.025059,-0.00667,-0.005121,-0.009587,-0.02978,-0.048445,0.013704,-0.020862,-0.003504,-0.005489,-0.01709,-0.027965
42,B000052YMQ,"Cetaphil Moisturizing Cream, Fragrance Free - 16 oz Cetaphil Cetaphil moisturizing cream--formulated specifically for ch",0.016006,0.020805,0.015668,0.033767,-0.024887,-0.009761,0.002639,0.014429,-0.037426,-0.016264,0.030477,-0.002336,-0.009868,-0.002164,-0.022183,-0.011398
43,B000052YMR,"Cetaphil Moisturizing Cream, 3.0 - Ounces Tube (Pack of 3) Cetaphil Cetaphil Moisturizing Cream for Dry, Sensitive Skin.",0.040535,0.014695,0.007456,0.020371,-0.012545,-0.011543,-0.015735,0.021055,-0.039792,-0.037356,0.024131,-0.007407,0.007177,-0.014753,-0.020869,-0.025881
44,B000052YMS,"Cetaphil Moisturizing Lotion, Fragrance Free - 16 fl oz Cetaphil Dry, sensitive skin treatment.&nbsp; Fragrance free.Cet",0.026324,0.021537,0.017414,0.016668,-0.010658,-0.015185,-0.008955,-0.003919,-0.041737,-0.044311,0.026024,-0.007007,-0.011794,5e-05,-0.020347,-0.021663
45,B000052YMT,"Cetaphil Gentle Skin Cleanser, 4.0 -Ounce Bottles (Pack of 6) Cetaphil Softens As It Cleanses.CETAPHIL&reg; cleanser was",0.021672,0.018516,0.005673,0.035591,-0.015397,-0.016883,0.005135,0.017474,-0.028523,-0.04889,0.010138,-0.011046,-0.0185,-0.013221,-0.000488,-0.012099
46,B000052YMV,Cetaphil Gentle Skin Cleanser - 16 fl oz Cetaphil Softens As It Cleanses.CETAPHIL&reg; cleanser was formulated for derma,0.015518,0.018095,0.004065,0.035793,-0.01577,-0.019823,0.005582,0.01617,-0.029103,-0.048935,0.009032,-0.016034,-0.023031,-0.009917,-0.00664,-0.019858
47,B000052YMX,Complex 15 Therapeutic Moisturizing Face Cream - 2.5 Ounce Dermatologist recommended ; CONTAINS PHOSPHOLIPIDS: which res,0.022513,0.015871,-0.00398,0.032427,-0.020783,-0.005934,-0.016896,0.000168,-0.051006,-0.025678,0.02282,-0.010067,-0.018304,-0.008075,-0.026058,-0.03772
48,B000052YN5,"DML Daily Facial Moisturizer, SPF 25 - 1.5 Oz DML with broad spectrum sunscreens enhanced with Avobenzone (Parsol 1789)a",0.023852,0.037269,0.003925,0.052571,0.000331,-0.01988,-0.016171,-0.017516,-0.040436,-0.032642,-0.002189,-0.012208,0.008564,-0.008459,-0.011196,-0.023867
49,B000052YN7,DML Moisturizing Lotion 16 oz. DML For Daily Care of Dry Skin.Non-ComedogenicHypoallergenicFragrance FreeFast AbsorbingR,0.011718,0.035955,0.022338,0.054051,-0.013984,0.010037,-0.018052,-0.010177,-0.042777,-0.046344,0.02212,0.012348,0.003812,0.000836,0.005956,-0.043102
50,B000052YOL,"Neutrogena Healthy Skin Anti-Wrinkle Cream, SPF 15, 1.4 Ounce Neutrogena Creams & Moisturizers Beauty Skin Care Face",0.026352,0.008297,0.04869,0.064984,0.016988,-0.000962,0.036809,0.018051,-0.043172,-0.016031,0.015923,-0.009015,0.022601,0.030597,-0.024903,-0.020954
51,B000052YOR,"Neutrogena Body Oil, Light Sesame Formula, 8.5 Ounce Neutrogena Body Oil is a delicately light sesame formula that insta",0.035071,0.031518,0.022388,0.047177,-0.008963,-0.000747,-0.001685,0.021443,-0.049742,-0.031742,0.011697,0.003012,-0.005218,0.015922,0.022701,-0.024708
52,B000052YOX,"Neutrogena Oil-Free Moisture, Sensitive Skin, 4 Ounce Neutrogena Creams & Moisturizers Beauty Fluids & Lotions Lotions F",0.040002,0.020394,0.051532,0.048819,0.018862,0.007647,0.019531,0.028775,-0.027505,-0.032776,0.030009,-0.015046,0.027721,0.024691,-0.024281,-0.020381
53,B000052YP4,"Neutrogena Light Night Cream, 2.25 Ounce Neutrogena Creams & Moisturizers Beauty Night Creams Face Skin Care",0.040284,0.017379,0.040504,0.05875,0.026298,0.007415,0.038079,0.025969,-0.04223,-0.01082,0.021967,-0.003656,0.016594,0.030628,-0.020159,-0.038747
54,B000052YP6,"Neutrogena Norwegian Formula Hand Cream, Fragrance-Free (2 Ounce) Neutrogena Neutrogena Hand Cream delivers effective re",0.040644,0.032688,0.033762,0.049058,-0.014797,-0.001766,0.003387,0.014337,-0.049111,-0.020885,0.020062,0.002457,0.013489,0.019119,-0.003478,-0.026899
55,B000052YQ0,"Olay Complete All Day Moisturizer With Sunscreen Broad Spectrum SPF 15 Normal 4 Fl Oz Olay Even if you have normal skin,",0.001067,0.008017,0.025955,0.02559,-0.013117,-0.002557,0.000506,0.019068,-0.027429,-0.014432,0.022688,-0.014465,-0.01731,0.011644,-0.022622,-0.001112
56,B000052YQ2,Olay Complete All Day Moisturizer With Sunscreen Broad Spectrum SPF 15 - Sensitive 4 Fl Oz Olay Caring for sensitive ski,-0.003214,0.009717,0.016657,0.021763,-0.007706,0.003118,-0.001524,0.02809,-0.034652,-0.025325,0.011846,-0.010985,-0.038338,0.001249,-0.012836,-0.016676
57,B000052YQN,"POND'S Cold Cream Cleanser, 3.5 oz. Pond&#39;s Moisturizers Beauty Body Oils Skin Care",0.009797,0.021093,0.023151,0.057772,0.035788,-0.015448,0.021307,0.0069,-0.052551,-0.021314,0.012845,-0.007763,0.018161,0.018217,-0.01373,-0.078786
58,B000052YQU,"POND'S Dry Skin Cream Facial Moisturizer, 3.9-Ounce (Packaging May Vary) Pond&#39;s Creams & Moisturizers Beauty Fluids ",0.030514,0.01369,0.031369,0.051938,0.021916,0.00284,0.008358,-0.002148,-0.031762,-0.04128,0.033092,-0.005299,0.021513,-0.010971,-0.015009,-0.05383
59,B000052Z5B,"Coty Airspun Face Powder, Naturally Neutral, 2.3 oz Coty Light/Medium Neutral Tone 070-11Exclusive Microspun formula.&nb",0.026705,0.019487,0.00046,0.040931,-0.003413,-0.007092,0.009016,0.024639,-0.07088,-0.004892,-0.017935,0.014593,-0.011937,0.043627,0.023319,-0.050188
60,B000052Z8D,"Max Factor Pan-Stik Ultra Creamy Makeup, Sun Tone 137 .5 oz (14 g) The original Max Factor Pan-Stick Makeup. Professiona",0.020374,0.03347,-0.004133,0.027682,-0.025982,-0.029895,0.021671,0.023774,-0.065904,-0.012228,0.003433,0.01167,-0.013388,0.010511,0.012713,-0.046695
61,B000052ZB1,"Neutrogena Intensified Day Moisture, SPF 15, 2.25 Ounce Intensified Day Moisture SPF 15 combines long-lasting moisturiza",0.027491,0.011829,0.021886,0.029389,0.000866,-0.018605,-0.004852,0.007578,-0.040219,-0.018725,0.030988,-0.009373,-0.004239,0.019986,-0.020618,-0.020097
62,B000052ZB2,"Neutrogena Extra Gentle Cleanser, 6.7 Ounce Neutrogena Neutrogena extra gentle cleanser more than just gentle cleansing.",0.038238,0.008822,0.005885,0.030634,-0.034129,-0.008151,-0.002438,0.020996,-0.036143,-0.018358,0.020551,0.002107,-0.013134,0.009007,-0.001404,-0.007321
63,B000052ZB4,"Neutrogena Deep Clean Facial Cleanser, Normal to Oily Skin, 6.7 Ounce Neutrogena Neutrogena Deep Clean cleans so deeply ",0.020313,0.004181,0.02095,0.037408,-0.009096,-0.005385,0.001288,0.013312,-0.036494,-0.014671,0.012468,-0.00059,-0.011759,0.023695,-0.000165,-0.005593
64,B000052ZBD,"Neutrogena Rainbath Gel, Original, 16  Ounce Neutrogena Cleans, softens and conditions skin.Rainbath Shower &amp; Bath G",0.029068,0.027301,0.013092,0.0299,-0.012633,-0.005747,0.015037,0.020489,-0.02566,-0.038839,0.01511,-0.000918,-0.001027,0.016804,0.017553,-0.008796
65,B000052ZBH,"Almay One Coat Nourishing Mascara, Thickening, Black 402, 0.4-Ounce Package Almay Hypo-Allergenic. 100% Thicker lashes. ",0.037969,0.006944,-0.006767,0.038003,-0.028743,-0.002945,-0.008758,0.025814,-0.0472,-0.012548,0.002728,-0.008359,-0.002364,0.008864,-0.004865,-0.03907
66,B000052ZBP,"Almay Moisturizing Eye Makeup Remover Pads, 80-Pads Almay Removes waterproof eye makeup and longwearing lipcolor. Americ",0.053629,0.017547,-0.007134,0.047416,-0.032823,-0.022351,0.011252,0.019768,-0.055439,0.008976,0.007866,0.005938,0.002806,0.016753,-0.021056,-0.041887
67,B000052ZTY,"Hugo By Hugo Boss For Men. Eau De Toilette Spray 1.3 Ounces HUGO BOSS Introduced in 1995. Fragrance notes: woods, fresh ",0.023275,0.017743,0.003085,0.039825,-0.009359,0.00094,0.013139,0.006121,-0.026808,-0.019288,0.025778,-0.012412,-0.018096,0.018847,0.006654,-0.04185
68,B00005302B,"Jergen Extra Moisturizing Liquid Hand Wash 7.5 Oz Jergens Cleans completely: This rich, creamy formula creates lots of s",0.025814,0.042287,0.023437,0.040925,-0.010377,0.027803,0.00259,0.019961,-0.008855,-0.031558,0.031569,-0.010846,-0.033803,0.015743,0.009586,-0.00721
69,B00005304H,"Q-tips Cotton Swabs, 500 Count Q-Tips &lt;P&gt;More Cotton At The Tip* Than Any Other Swab.&lt;/P&gt; &lt;P&gt;&lt;STRON",0.04364,-0.005149,-0.009255,0.040136,-0.009091,-0.008915,0.012914,-0.022132,-0.023499,-0.036784,0.027388,0.005265,-0.022094,0.024246,0.005782,-0.048351
70,B0000530ED,"L'Oreal Paris Feria Hair Color, 36 Dark Burgundy Brown/Chocolate Cherry L&#39;Oreal Paris Multi-Faceted Shimmering Colou",0.015013,-0.004299,-0.000173,0.013591,-0.026616,0.016761,-0.023208,0.00669,-0.049102,-0.022476,0.003312,0.005501,-0.020123,0.018486,0.005531,-0.035476
71,B0000530EZ,Aussie Hair Insurance Leave-In Conditioner 8 Fl Oz (Pack of 3) Aussie Beauty Hair Care Conditioners,0.037918,-0.020254,0.037776,0.012641,0.009882,0.003236,0.039412,0.023195,-0.01143,-0.009212,0.005425,-0.017675,0.004096,0.000597,0.019853,-0.002642
72,B0000530G6,"Suave Professionals Conditioner, Humectant - 12.6 Ounce Suave Beauty Hair Care Conditioners",0.028469,0.013196,0.044166,0.025873,0.009908,0.007398,0.021194,0.033285,-0.014819,-0.040498,0.010828,-0.013856,-0.004936,0.00637,0.013516,-0.000393
73,B0000530LO,"Suave Naturals Shampoo, Daily Clarifying - 22.5oz. Suave Shampoos Beauty Hair Care",0.027256,0.008334,0.032174,0.033441,-0.004071,0.024093,0.035877,0.035791,-0.011576,-0.032539,0.015263,0.002357,-0.01074,0.018384,0.023019,-0.040399
74,B0000530LP,"Suave Shampoo, Daily Clarifying - 12oz. Suave Shampoos Beauty Hair Care",0.02349,0.00939,0.027148,0.036537,0.005425,0.018232,0.042732,0.036099,-0.009175,-0.030927,0.021195,0.001523,-0.004442,0.018171,0.014385,-0.033807
75,B0000530LV,"Suave Naturals Shampoo, Sun Ripened Strawberry 22.5oz Suave Gentle Cleansing with a Fragrant Natural Scent for All Hair ",0.030826,0.011884,0.004454,0.031917,-0.041556,-0.00822,0.010069,0.022554,-0.017795,-0.048216,0.007015,0.020418,-0.020204,0.010321,0.027986,-0.015803
76,B0000530M0,"Suave Professionals Humectant Moisture Shampoo , 12.6 fl Ounce (373 ml) Suave Shampoos Beauty Hair Care",0.065189,-0.007855,0.03113,0.031149,-0.007548,0.000203,0.017141,0.032864,-0.021306,-0.038521,0.020523,-0.004909,0.000517,-0.00094,-0.000403,-0.036353
77,B0000530NA,"Olay Daily Care Refreshing Toner, 7.2-Fluid Ounce Olay Cleans and Refreshes without Overdrying.Low Alcohol Formula. Derm",0.018779,0.015151,0.019194,0.043921,-0.017859,-0.022227,-0.015426,-0.000308,-0.02026,-0.041731,0.00957,0.006254,-0.008547,0.00908,0.012214,-0.032628
78,B0000530O9,"Olay Age Defying Classic Eye Gel 0.5 Oz Olay Cooling gel revitalizes and moisturizes, minimizing the appearance of signs",0.021763,0.013887,0.029986,0.040729,-0.035309,-0.007423,0.008456,0.005736,-0.054255,0.008436,0.013826,0.006854,-0.007049,0.023359,-0.016998,-0.037746
79,B0000531GD,"Maybelline New York Shine Free Oil Control Pressed Powder, Ivory - 1 ea Maybelline Oil blotting ingredients in this pres",0.043685,0.003051,-0.002966,0.036519,-0.018659,-0.008541,0.010362,0.022628,-0.056762,-0.009296,-0.005372,-0.001991,-0.0009,0.014781,0.008525,-0.037382
80,B0000531GV,"Maybelline New York Expert Eyes 100% Oil-Free Eye Makeup Remover, 2.3 Fl. Oz. Maybelline This 100% oil free formula gent",0.053776,0.029727,0.011147,0.051751,-0.017979,-0.009195,0.00559,0.0077,-0.049254,-0.013669,0.008306,-0.019979,-0.014036,0.018136,-0.003561,-0.039569
81,B0000531II,"Maybelline New York Shine Free Oil Control Loose Powder, Light, 0.7 Ounce Maybelline Oil control loose powder for a fres",0.024614,0.012765,0.002082,0.041441,-0.002405,-0.003691,0.020142,0.029901,-0.053205,-0.006358,0.006898,0.000156,0.005756,0.017914,0.01301,-0.033381
82,B0000531NU,"Maybelline New York Volum' Express - Waterproof Mascara, Very Black - .34 fl oz Maybelline Up to triple the volume insta",0.030127,0.014527,0.009041,0.030135,-0.01642,0.009526,-0.009602,0.01437,-0.034781,0.008793,0.013132,0.008255,-0.010392,0.019043,-0.002454,-0.036893
83,B0000531SW,"L'Oreal Paris Visible Lift Line-Minimizing &amp; Tone-Enhancing Makeup, Soft Ivory, 1.25 Ounces L&#39;Oreal Paris With P",0.021161,0.021404,0.022932,0.032754,0.002536,-0.027682,0.014389,0.001797,-0.071035,-0.011046,-0.012867,-0.029454,0.010473,0.023881,0.000673,-0.033561
84,B0000531WZ,"Revlon Super Lustrous Creme Lipstick, Fire and Ice 720, 0.15 Ounce Revlon Made in USA. Makeup Beauty Lipstick Lips",0.040288,0.014017,0.026077,0.045491,0.024244,0.001237,0.03939,0.049677,-0.037634,0.05413,-0.002885,0.007422,-0.0063,0.035291,0.000481,-0.050479
85,B00005321Z,"Revlon Eterna '27' Moisture Cream with Progenitin, 2 Ounce Revlon Eterna '27' was used by hundreds of women in Europe an",0.032215,0.050266,0.018639,0.034975,-0.016958,0.001718,-0.004248,0.005443,-0.009971,-0.019168,0.017586,-0.008606,-0.010931,0.010055,-0.007875,-0.008169
