item_id,asin,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50
10,B000050B6U,0.31919,-0.25955,-0.00146,-0.10899,-0.07854,-0.30217,0.03774,-0.01027,0.02633,0.07292,-0.04309,-0.00381,0.0536,0.03396,0.06953,0.14524,0.08514,0.05521,0.031,-0.11978,-0.06827,-0.08494,-0.08267,-0.02104,-0.01599,-0.02199,0.04958,-0.02264,-0.05383,0.07472,0.01256,-0.05017,-0.05152,0.01748,-0.05347,-0.02099,-0.01053,0.05406,-0.07443,0.0731,-0.00017,0.08874,-0.07721,0.0128,-0.02172,-0.01398,-0.01057,-0.01343,-0.01078,-0.02205
11,B000052WY7,-0.21978,-0.09343,-0.18837,0.23197,-0.08788,0.05626,0.06333,-0.22366,-0.00698,-0.0828,-0.03811,0.09892,0.13786,0.02686,-0.08438,0.0219,-0.10902,-0.05841,-0.12498,0.08916,-0.05493,0.04998,0.01306,-0.05828,-0.0561,-0.05898,0.06202,0.01523,-0.04746,0.04852,0.01603,-0.03722,-0.03002,0.05643,0.00177,0.00125,-0.02084,0.05569,-0.02176,0.01799,-0.0336,0.05972,-0.05155,-0.00023,0.03939,0.04139,0.01827,0.06126,0.01147,0.06712
12,B000052WYD,0.11605,0.03261,-0.36436,0.0388,-0.02637,0.16359,0.05328,-0.20237,0.10083,0.02633,0.09077,-0.09621,0.09604,-0.04434,0.01818,0.02386,-0.09171,0.03746,-0.05207,-0.03357,0.02673,0.0134,-0.09147,0.08863,0.08213,0.01105,0.03996,0.04035,-0.00423,-0.07781,-0.04655,-0.06183,-0.04593,-0.00043,0.02655,0.02322,-0.02091,0.06339,-0.03512,0.01411,-0.03438,-0.00185,-0.03852,-0.01153,0.00294,-0.00364,0.05314,0.01201,0.00875,0.01706
13,B000052WYL,-0.17571,0.15183,-0.19344,0.20193,-0.09861,0.05445,0.08487,-0.09627,0.10372,0.04053,0.05391,-0.11874,-0.04441,0.0568,0.13394,-0.0386,-0.17715,-0.00636,0.00412,0.11351,-0.02515,0.09449,-0.00315,-0.06762,0.01559,0.01958,0.19251,-0.01714,-0.05082,-0.02229,0.01707,-0.04925,0.03724,0.0645,0.00547,0.02345,-0.04708,0.05139,0.05015,0.05783,0.03455,0.02023,0.04407,0.07986,-0.00974,0.06294,-0.02113,0.00954,0.05852,0.04746
14,B000052WYN,-0.10343,-0.06653,-0.25505,0.18689,-0.03107,0.02132,-0.0142,-0.19265,0.10503,0.01176,0.01563,0.05426,0.10508,0.10872,-0.06168,-0.00573,-0.09834,0.00235,-0.00178,0.08439,-0.03448,0.02688,0.01904,0.03169,-0.05039,-0.12143,0.09734,-0.04879,-0.07519,0.06624,0.06678,0.01999,-0.02372,0.0199,-0.05926,-0.03297,-0.09831,0.03261,0.01469,0.05248,-0.03598,0.02819,0.04174,0.01896,0.03393,0.00597,-0.00652,0.04408,-0.02706,0.00695
15,B000052X9G,0.2203,-0.00964,0.26454,0.01287,0.03948,0.08515,0.01422,0.05512,-0.02023,-0.04738,0.09235,0.03265,0.00378,-0.06791,0.02046,0.14109,-0.11158,0.07279,-0.13307,-0.0417,-0.04363,0.14861,-0.12245,0.06884,0.02108,-0.04436,-0.03788,0.04292,-0.0655,0.0116,-0.08894,0.00713,0.06962,0.065,0.05328,0.01564,3e-05,0.02885,0.01468,0.01216,-0.07904,0.02627,-0.01383,0.02519,-0.0526,0.05412,-0.04589,-0.01206,0.00386,-0.00674
16,B000052XIA,0.28348,0.19969,0.11156,-0.00884,-0.04259,0.11518,-0.03927,0.01451,-0.00741,8e-05,0.12809,0.11322,0.06983,-0.07371,0.0511,-0.08753,-0.00971,0.09938,0.02639,-0.03505,0.01349,0.13132,-0.04393,0.02948,-0.01193,-0.07009,0.04386,0.03269,-0.02965,-0.00893,-0.02104,-0.04015,0.09286,0.04015,0.00938,-0.00059,-0.06517,0.02704,-0.06591,0.03386,0.01379,0.05447,-0.03229,-0.03539,-0.00331,-0.00954,0.00162,0.03844,-0.02446,-0.0862
17,B000052XW5,0.18241,0.11197,0.13005,0.00207,-0.12628,-0.014,0.16265,0.11093,0.05562,0.09968,0.03121,0.14634,-0.10574,-0.02499,0.09373,-0.08073,-0.01735,-0.00453,-0.05468,-0.05382,-0.01869,0.02124,-0.07896,0.00722,-0.00374,-0.02833,0.03433,0.04351,0.00291,-0.04072,0.00782,-0.01803,-0.05467,-0.03156,-0.00915,0.04411,-0.01728,-0.03037,0.02589,-0.04776,0.05056,-0.0487,0.00861,0.00088,0.04144,-0.01275,0.03851,-0.04696,0.02767,-0.03235
18,B000052XYQ,0.24278,0.17486,-0.1352,-0.19463,0.18592,-0.11476,0.05645,0.03391,0.07326,0.03254,0.11041,0.04815,0.0055,-0.03022,-0.03758,-0.00377,-0.1765,-0.11055,-0.00768,0.03172,0.03659,-0.01671,-0.04269,-0.08281,0.00295,0.08166,-0.01789,0.004,0.03637,-0.0562,-0.00113,-0.03059,0.03601,0.01895,-0.04909,0.00376,0.01867,-0.1191,-0.04173,0.01649,-0.01167,0.02391,-0.09963,0.00777,0.01327,0.03227,-0.00788,0.00022,0.00619,0.00751
19,B000052XZP,-0.39319,0.40479,0.14473,0.1143,-0.12825,-0.21429,-0.0113,0.00916,0.08367,0.00671,0.12583,0.02387,0.06502,-0.05412,0.02637,0.10358,-0.04927,-0.02891,-0.06436,0.00614,-0.04263,0.05262,-0.11138,0.04569,-0.07406,-0.01529,0.01443,0.10419,-0.02016,-0.03649,-0.02052,0.04019,-0.00205,-0.03795,0.0806,-0.02049,-0.02451,-0.01391,0.00414,-0.04641,-0.0747,0.06387,-0.00105,-0.01871,-0.01839,-0.0484,-0.01875,0.06295,0.00621,-0.03065
20,B000052XZX,0.19825,0.19514,0.17194,0.02991,-0.03049,-0.0155,-0.10597,-0.02573,-0.03187,0.17675,0.08999,0.1202,0.07426,-0.00959,0.07323,-0.04078,-0.09415,-0.03664,-0.02991,-0.00166,0.06749,0.10103,-0.09434,0.11773,0.04168,-0.05535,0.11099,0.18763,0.00639,-0.078,0.01432,-0.05669,0.02104,0.05898,-0.02642,-0.05864,-0.09571,-0.02123,0.00697,-0.09261,-0.0594,0.04511,0.04695,-0.0199,0.01073,-0.01643,-0.04444,0.13462,-0.04019,-0.0572
21,B000052Y25,0.09558,0.22173,-0.05694,-0.15715,-0.05438,-0.07025,0.00937,0.07775,-0.08614,-0.05234,0.09085,0.08385,0.01673,0.14128,0.03565,0.03798,-0.09636,-0.06471,0.01282,0.02386,0.05368,0.05028,-0.05082,-0.02092,0.03397,0.0793,0.0202,0.00992,-0.00304,-0.02541,-0.0398,-0.00939,0.06733,0.04182,-0.00798,-0.02011,-0.06657,0.0062,-0.04936,0.0163,-0.05755,-0.03833,-0.03934,0.03384,0.01192,0.01,0.02644,0.0086,-0.03123,0.03042
22,B000052Y33,0.33563,0.15341,-0.02244,-0.09764,-0.1695,-0.00671,-0.14466,-0.00106,-0.00415,-0.06634,0.14621,0.08111,0.0644,0.05177,-0.06321,-0.03979,0.06425,-0.04907,0.00071,0.05796,-0.01052,0.04017,0.03773,0.0611,0.08619,-0.04673,0.04046,-0.07452,0.01539,0.03659,-0.06053,0.03277,0.06167,0.03807,-0.02917,0.03102,0.04699,0.03955,-0.08024,0.01598,-0.05144,-0.04431,0.02483,0.02335,0.01443,-0.04872,0.00351,0.00792,0.05264,-0.00839
23,B000052Y5F,0.03141,0.15028,0.03196,-0.16977,0.17917,0.11807,-0.05743,0.04134,0.06025,0.11812,-0.07694,-0.00437,-0.00117,0.00827,-0.18555,0.06473,-0.07867,0.03422,-0.05719,-0.07187,0.10271,0.1783,-0.01612,-0.00658,-0.09875,-0.04855,0.09638,-0.02905,-0.02517,-0.07482,-0.08166,0.05967,-0.00206,0.09889,-0.06583,-0.05466,0.0154,0.05208,-0.05607,-0.01836,-0.00471,0.02058,-0.0174,0.08468,-0.04649,-0.01592,-0.05143,0.02406,-0.02645,-0.01257
24,B000052Y6Z,-0.37066,0.20368,0.07496,-0.09094,0.06644,-0.01418,0.05887,0.02115,0.04591,0.26138,-0.10291,-0.01074,-0.04082,0.1439,0.07358,0.02361,0.07451,0.18414,0.00599,-0.00256,0.06065,0.04959,0.00854,-0.15036,-0.11596,0.01985,0.04353,0.00798,-0.01341,-0.04496,-0.0325,-0.04474,-0.05653,0.06124,-0.02993,0.05762,0.0971,0.01135,-0.02934,0.02231,0.04318,0.03129,0.06819,0.03964,0.03521,-0.0187,-0.06324,0.04882,0.00917,-0.02467
25,B000052YJC,0.29879,-0.09073,0.05058,-0.11466,-0.09779,-0.04544,0.18018,0.03901,0.07742,0.09223,-0.03299,0.10672,0.042,-0.02681,0.10063,-0.07409,0.08197,0.05263,-0.13883,-0.00541,-0.03627,0.01712,-0.03121,0.11492,-0.13263,-0.03714,-0.04187,0.04332,-0.02636,-0.06492,0.03761,0.02081,-0.01633,0.01454,-0.09265,-0.11187,0.05565,-0.11382,0.00746,-0.0196,-0.0178,-0.02082,0.0224,-0.02553,-0.03608,-0.04163,0.02447,-0.03443,0.00694,0.00397
26,B000052YJD,0.24619,0.05812,0.00019,-0.0998,-0.06525,0.05393,0.06839,-0.03142,0.17497,0.11712,0.0943,0.06349,-0.03695,-0.03912,0.17678,-0.13783,-0.0868,0.08969,-0.08219,0.08239,0.1174,-0.04562,0.05413,0.01326,-0.0014,-0.00478,0.0555,0.00401,-0.00496,-0.05037,0.00384,0.06105,0.05128,-0.03454,-0.04438,-0.0649,0.12646,-0.00074,-0.04179,0.01784,0.05792,-0.03756,0.00195,0.00586,-0.03913,-0.05896,-0.02328,-0.0635,0.00831,0.00439
27,B000052YJH,0.24977,0.15471,-0.13959,-0.22228,-0.04027,0.1206,0.09522,-0.01254,0.18741,0.06997,0.1106,0.04673,-0.07011,-0.08977,0.17378,-0.12778,-0.0775,0.07969,-0.01871,0.11606,0.08375,-0.05352,-0.00194,0.00827,-0.03177,0.07864,0.01243,-0.03852,0.01374,-0.03804,-0.00496,0.0407,0.02742,-0.01607,-0.06467,-0.02743,0.027,-0.01738,-0.00708,-0.02736,0.04245,-0.06536,0.03223,0.05191,-0.07721,-0.04906,-0.01123,-0.03438,-0.00768,-0.02375
28,B000052YJM,-0.09899,0.31331,0.01979,-0.10816,0.08576,0.15134,0.10761,-0.0661,0.02445,0.12424,0.04478,0.05787,0.09655,0.06827,-0.08728,-0.05903,0.00872,0.05982,0.09157,-0.02251,0.05215,0.04307,-0.05259,0.04693,0.0193,-0.00716,0.04972,0.02451,0.12226,-0.04236,0.00919,0.01009,0.03754,0.10556,0.02372,0.00784,-0.09137,0.05344,-0.04315,-0.02319,0.05129,0.0701,-0.08966,-0.06628,0.02302,0.00248,-0.06571,-0.03943,-0.01816,-0.01794
29,B000052YJX,0.27643,0.13759,0.1509,0.21913,-0.23639,-0.06839,0.01723,0.04257,0.02118,0.13558,0.07354,-0.00866,0.01114,-0.03689,0.14044,0.10697,-0.06558,0.01089,-0.00713,-0.04177,-0.02435,0.10914,-0.14877,0.01139,0.00095,-0.02104,-0.03736,0.12508,0.02184,-0.03242,0.04513,0.06967,0.02383,0.01023,0.04945,-0.00046,-0.07449,0.00286,-0.05607,-0.05064,-0.01385,0.08546,-0.04077,-0.09179,0.06362,-0.0482,-0.06386,0.01827,0.00966,-0.07202
30,B000052YKI,0.25515,0.16009,0.04794,0.11363,-0.0407,0.06451,-0.00682,-0.06675,0.04253,0.02838,0.01083,0.06625,-0.00228,0.01852,0.01376,0.02436,-0.01581,0.04633,0.16343,-0.11579,0.08232,0.01849,0.03757,0.04354,0.08563,-0.01541,-0.02649,0.07077,-0.02683,0.06955,-0.02588,0.02909,0.07363,-0.06488,-0.06287,-0.06722,0.00941,-0.04195,-0.07481,-1e-05,0.01423,0.04665,-0.02184,0.05254,0.07476,0.04924,-0.01949,-0.0196,-0.01508,-0.01305
31,B000052YKM,0.10288,0.12168,-0.02523,-0.1447,-0.01571,0.08397,0.13521,0.02942,0.10039,0.05998,0.11179,0.13276,-0.0251,-0.06288,-0.00934,0.13612,-0.01702,-0.01565,-0.11818,-0.02785,0.01034,0.08952,-0.11612,0.00925,0.01429,-0.04973,-0.01751,0.08719,0.05158,-0.02159,-0.00183,0.08713,0.0457,0.0444,-0.04701,-0.04055,-0.05512,-0.00591,0.00167,-0.055,-0.02006,0.00022,0.01961,-0.01615,0.02642,-0.04159,-0.08268,-0.04859,0.02525,-0.06829
32,B000052YKS,0.24772,0.29823,-0.30595,-0.20064,0.13148,0.13362,-0.11037,0.02798,0.21453,-0.05797,0.01518,-0.00186,-0.02016,-0.20305,0.18545,-0.08645,-0.05302,0.02499,-0.03373,0.02983,0.06978,-0.0455,0.00249,0.03335,0.08932,0.04215,-0.02526,-0.06761,0.02997,-0.04477,0.08531,0.02181,-0.04742,0.05704,-0.06971,0.0871,-0.02851,0.02765,0.02763,0.01836,0.07875,0.0447,0.06344,-0.03791,0.0149,0.00922,0.03514,-0.06023,-0.01541,0.02757
33,B000052YKY,0.29797,0.18696,0.06612,0.01834,0.0057,-0.03916,0.02972,0.0264,0.15321,0.06393,0.03555,0.06755,0.06476,0.01247,0.07587,-0.03451,-0.14708,0.02323,0.09683,0.01993,0.12954,0.03999,-0.07453,-0.02124,0.03569,-0.0152,0.13112,0.10238,0.01946,-0.06144,0.04634,0.02892,0.0184,0.00948,-0.07906,-0.04818,-0.00982,-0.04553,0.04957,0.0556,-0.01791,0.09026,-0.03341,-0.00527,-0.03497,0.03481,-0.03329,0.05822,0.01395,-0.0531
34,B000052YL1,0.31093,0.18872,0.07268,-0.04312,-0.01677,0.056,-0.00658,0.05134,0.06594,0.09716,0.0062,-0.02235,0.02757,-0.01015,0.05335,0.01459,-0.0254,-0.00798,0.03615,0.07723,0.06875,-0.00675,-0.13347,0.00812,0.03933,-0.06482,0.02756,0.13439,-0.00356,-0.07229,0.00696,0.03686,0.04407,-0.03443,-0.03579,-0.02538,-0.06611,-0.07856,0.02108,0.02031,-0.01214,0.09651,-0.00301,-0.03745,-0.01388,0.02328,-0.03732,0.03318,0.00747,-0.09224
35,B000052YLX,0.32066,0.14128,0.07514,0.01437,-0.04247,-0.02989,0.0387,-0.02218,0.20235,0.09116,0.04854,-0.03554,0.0791,0.05757,0.09911,-0.10145,-0.13485,0.06919,0.09815,0.05359,0.0657,-0.05676,-0.16524,0.03843,0.02486,0.04223,0.12771,0.02084,0.00025,-0.08522,0.11925,0.05088,1e-04,0.03801,-0.08166,-0.0615,-0.01181,-0.05791,0.01029,0.05113,-0.03977,0.07701,-0.01843,-0.06118,-0.05337,0.03694,0.01031,0.01799,-0.02869,-0.01124
36,B000052YM0,0.11441,0.22928,0.02626,-0.17255,0.07958,0.33445,-0.07053,-0.02561,0.09017,-0.07452,0.17065,-0.0249,0.08471,-0.06911,-0.0195,-0.136,-0.09569,0.2669,0.06823,-0.00924,-0.0203,0.01685,-0.07199,0.01809,-0.02892,0.03099,-0.02536,-0.04242,-0.05121,-0.00938,-0.02903,-0.01448,0.05997,-0.06874,0.02452,-0.02089,-0.10555,0.00847,-0.07937,0.00226,0.01246,0.00757,-0.07656,0.00713,-0.07356,-0.04581,0.01683,0.04876,-0.02202,-0.05013
37,B000052YM3,0.37234,0.13616,0.12647,-0.01797,-0.03061,0.16249,-0.03807,-0.09915,-0.02906,0.10396,0.14314,-0.01126,0.05347,-0.06106,0.03684,0.00059,-0.09017,-0.02158,0.01529,0.02416,-0.00502,-0.08021,0.00776,0.07419,0.04614,0.00218,0.08587,-0.04659,0.11746,-0.1104,0.06585,0.0007,-0.02389,0.01265,-0.05661,-0.0123,0.05865,-0.03366,-0.03382,0.03471,-0.00282,-0.03088,-0.01662,0.02538,0.00442,-0.03288,-0.01038,-0.00801,0.01038,0.01554
38,B000052YM4,0.36058,0.18631,0.00304,0.05019,-0.0648,-0.08168,0.11266,0.05794,0.12234,-0.05475,0.0506,-0.07387,0.01805,0.00834,0.16202,-0.0164,-0.08517,0.03517,0.02633,-0.02161,0.07917,-0.04769,-0.06977,-0.01439,0.00563,0.09655,-0.00101,0.01851,-0.0047,-0.0852,0.10793,0.06736,-0.05895,0.00452,-0.09184,-0.007,-0.0493,-0.12523,0.01316,0.03598,0.08178,0.07955,-0.01642,-0.01117,-0.00624,0.02456,-0.0014,-0.03706,0.00174,0.02571
39,B000052YM7,0.31673,0.19442,0.08717,0.03556,-0.04574,0.09113,-0.00243,0.04656,-0.04076,-0.01289,-0.05785,0.06684,0.01355,0.03294,-0.0448,0.08785,0.01162,-0.01575,0.03789,0.0315,-0.02847,0.0048,0.03533,-0.00546,-0.00074,-0.06676,-0.0805,0.01232,0.07518,-0.01339,0.07979,0.03229,0.0454,-0.02454,-0.09046,-0.02165,0.01502,-0.01552,-0.04065,0.06877,0.08949,0.04895,-0.12321,-0.01859,0.05067,-0.00975,-0.0346,-0.01995,0.00577,0.01158
40,B000052YM8,0.3278,0.10774,0.14231,0.13572,-0.08247,-0.01668,0.05169,0.0774,-0.02998,-0.05965,-0.08472,-0.02511,0.06886,-0.00044,-0.04695,0.11464,0.00542,-0.02932,-0.00063,-0.06491,-0.00717,0.026,-0.02601,-0.01654,-0.0062,-0.01438,-0.02544,0.0128,0.02266,-0.04546,0.08512,0.05129,-0.00871,-0.00653,-0.04949,-0.02837,-0.05199,-0.02054,-0.05313,-0.03347,0.09579,0.03576,-0.04758,-0.05478,0.03309,-0.00561,-0.03583,-0.03108,-0.03794,0.04384
41,B000052YMG,0.33489,0.16434,0.14458,0.05664,0.0487,-0.02276,-0.02511,0.01462,0.06723,0.08914,0.03044,0.01469,0.04852,0.00342,0.02793,-0.06934,-0.1904,0.00821,0.08369,0.01236,0.08709,0.05857,0.03486,0.0064,-0.00131,-0.02925,0.10851,0.00506,0.03823,-0.12926,-0.01551,0.0194,0.02292,0.04069,-0.06504,-0.08585,-0.01656,-0.05298,0.01757,0.07029,-0.04644,0.06199,-0.08551,0.03565,-0.07704,0.02557,-0.00279,0.00182,-0.01091,-0.02946
42,B000052YMQ,0.36938,0.23925,0.07434,0.09763,-0.11438,-0.04602,0.07331,0.06565,0.05853,-0.05156,0.03409,0.01557,0.04216,-0.01397,0.07396,0.00492,-0.11032,0.00734,0.13502,-0.0225,-0.03533,0.14218,0.05278,0.03461,-0.01595,0.01193,-0.00825,0.09504,0.0613,0.03774,-0.04899,0.06019,-0.047,0.02363,-0.08664,-0.03609,0.00389,-0.08726,0.02228,0.06804,0.01634,0.03329,-0.04931,0.00315,0.05793,-0.0246,-0.04232,0.0142,0.0486,-0.10241
43,B000052YMR,0.26817,0.28481,0.00696,0.00404,0.02069,0.04939,-0.0106,0.00868,0.11595,-0.001,0.01097,0.0422,0.05393,0.09171,0.00389,0.00457,-0.07786,-0.0082,0.15739,0.045,-0.03029,0.10348,-0.02444,0.02469,0.018,-0.00694,0.02454,0.09299,0.0594,0.02371,-0.05016,0.06615,0.03259,0.03691,-0.07635,-0.06785,-0.00575,-0.0346,0.038,0.03168,-0.0033,0.01517,-0.05638,0.01152,-0.00464,-0.02992,0.00973,-0.00792,0.05084,-0.09993
44,B000052YMS,0.31296,0.27128,0.1261,0.12541,-0.02072,-0.07095,-0.01489,-0.02044,0.06237,0.05921,0.03409,0.09256,0.07029,0.05362,0.01129,-0.05426,-0.08727,-0.05098,0.15895,-0.0157,-0.00885,0.07509,0.01041,0.00205,-0.02685,-0.0415,0.08341,0.04384,0.1026,-0.0427,-0.0298,0.0469,0.05455,0.06106,-0.06585,-0.06052,4e-05,-0.05435,0.03289,0.0457,-0.00756,0.02621,-0.06377,0.02265,0.02776,0.01471,-0.00035,0.04708,0.02325,-0.10408
45,B000052YMT,0.33242,0.19304,0.06088,0.07392,-0.00631,-0.10958,0.01729,0.00033,0.2073,0.10818,0.06964,0.05134,0.04243,-0.0199,0.02125,-0.04542,-0.13947,-0.0407,0.07239,0.02888,0.06464,0.0292,-0.02936,-0.01335,-0.01722,0.04021,0.06515,0.07957,0.04325,-0.08634,-0.02003,0.04361,-0.01733,0.01401,-0.09028,-0.01644,0.00452,-0.00824,0.00829,0.06153,-0.05346,0.00727,-0.06006,-0.00863,-0.00482,-0.02099,-0.02449,-0.01213,-0.00502,-0.04406
46,B000052YMV,0.3654,0.20781,0.07543,0.09661,-0.00607,-0.12186,0.02401,0.00943,0.14292,0.13139,0.06575,0.0491,0.02395,-0.02395,0.05837,-0.07042,-0.18274,-0.0489,0.0778,0.02449,0.097,0.03052,-0.01021,-0.03329,-0.03659,0.05516,0.07665,0.07988,0.05663,-0.09686,0.00551,0.02571,-0.02131,0.03367,-0.10039,-0.0276,0.01776,-0.0387,0.00829,0.06073,-0.04301,0.01408,-0.077,-0.00389,0.00073,-0.0164,-0.01549,-0.00066,-0.01972,-0.0325
