item_id,asin,pc1,pc2,salesrank_category,salesrank,item_text_short
17,B000052XW5,0.18241,0.11197,Beauty,2318.0,"Pretty Feet &amp; Hands Rough Skin Remover-Exfoliant, 3-Ounce Bottles (Pack of 3"
18,B000052XYQ,0.24278,0.17486,Beauty,27420.0,DHS Clear Shampoo 8 Fl Oz Person &amp; Covey Recommended by DermatologistsDHS&tr
19,B000052XZP,-0.39319,0.40479,Beauty,4817.0,"Neutrogena T-Gel Shampoo, Stubborn Itch Control, 4.4 Ounce Neutrogena Shampoos B"
20,B000052XZX,0.19825,0.19514,Beauty,1844.0,"Neutrogena T/Sal Shampoo, Scalp Build-up Control, 4.5 fl oz Neutrogena Clears an"
21,B000052Y25,0.09558,0.22173,Beauty,8864.0,DHS Conditioning Rinse With Panthenol 8 fl oz DHS DHS Conditioning Rinse is spec
22,B000052Y33,0.33563,0.15341,,,"Alberto VO5 Moisturizing Hot Oil Treatment, 0.5 Ounce, 2-Count Tubes (Pack of 6)"
23,B000052Y5F,0.03141,0.15028,Health & Personal Care,11183.0,Konsyl Pharmaceuticals Psyllium Fiber 15.9 oz KONSYL PHARMACEUTICALS Natural fib
24,B000052Y6Z,-0.37066,0.20368,Health & Personal Care,17330.0,"Williams Lectric Shave Electric Razor Pre-Shave, Original, 3 fl oz Lectric Shave"
25,B000052YJC,0.29879,-0.09073,,,"Buf-Puf Double-Sided Body Sponge - 1 ea Buf-Puf The secret to really polished, s"
26,B000052YJD,0.24619,0.05812,,,"Buf-Puf Reusable Facial Sponge, Extra Gentle, - 1 ea Buf-Puf One Facial SpongeFo"
27,B000052YJH,0.24977,0.15471,,,Buf-Puf Reusable Facial Sponge (Pack of 6) Buf-Puf Thoroughly cleans and refresh
28,B000052YJM,-0.09899,0.31331,,,"Clean &amp; Clear ESSENTIALS Dual Action Moisturizer, 4 Ounce Clean &amp; Clear "
29,B000052YJX,0.27643,0.13759,,,"Neutrogena OntheSpot Acne Treatment, Vanishing Formula, 0.75 Ounce Neutrogena On"
30,B000052YKI,0.25515,0.16009,,,Purpose Dual Treatment Moisture Lotion with SPF 15 4 fl oz (120 ml) Purpose This
31,B000052YKM,0.10288,0.12168,Beauty,7048.0,"Stri-Dex Medicated Pads, Maximum Strength, 90-Count Containers, (Pack of 3) Stri"
32,B000052YKS,0.24772,0.29823,,,"Basis Cleaner Clean Face Wash, 6 Fluid Ounces Basis Deep cleans + refreshes. 100"
33,B000052YKY,0.29797,0.18696,,,"Cetaphil Gentle Cleansing Bar, Antibacterial - 4.5 oz Cetaphil Gentle antibacter"
34,B000052YL1,0.31093,0.18872,Beauty,18142.0,"Cuticura Medicated Anti-Bacterial Bar Soap, Original Formula - 5.25 oz bar Cutic"
35,B000052YLX,0.32066,0.14128,,,Purpose Gentle Cleansing Bar 6 oz (170 g) Purpose Dermatologist recommended. Oil
36,B000052YM0,0.11441,0.22928,Beauty,2114.0,Fruit Of The Earth 100% Aloe Vera 6oz. Gel Tube Fruit of the Earth Non-Oily Mois
37,B000052YM3,0.37234,0.13616,Beauty,4413.0,Alpha Hydrox AHA Enhanced Cream 2 oz. Alpha Hydrox 10% AHA Anti-Wrinkle Treatmen
38,B000052YM4,0.36058,0.18631,Beauty,1931.0,Alpha Hydrox Foaming Face Wash -- 6 fl oz Alpha Hydrox This wonderfully sudsy fo
39,B000052YM7,0.31673,0.19442,Beauty,561.0,Alpha Hydrox Enhanced Lotion 10 percent Glycolic AHA -- 6 fl oz Anti-Wrinkle Alp
40,B000052YM8,0.3278,0.10774,Beauty,4183.0,Alpha Hydrox Oil Free Treatment 10 Percent AHA 1.7 fl oz. Alpha Hydrox If you're
41,B000052YMG,0.33489,0.16434,Beauty,4891.0,Aquanil Cleanser 16 fl oz. Aquanil For Sensitive SkinNon-ComedogenicHypoallergen
42,B000052YMQ,0.36938,0.23925,,,"Cetaphil Moisturizing Cream, Fragrance Free - 16 oz Cetaphil Cetaphil moisturizi"
43,B000052YMR,0.26817,0.28481,Beauty,6216.0,"Cetaphil Moisturizing Cream, 3.0 - Ounces Tube (Pack of 3) Cetaphil Cetaphil Moi"
44,B000052YMS,0.31296,0.27128,,,"Cetaphil Moisturizing Lotion, Fragrance Free - 16 fl oz Cetaphil Dry, sensitive "
45,B000052YMT,0.33242,0.19304,Beauty,140584.0,"Cetaphil Gentle Skin Cleanser, 4.0 -Ounce Bottles (Pack of 6) Cetaphil Softens A"
46,B000052YMV,0.3654,0.20781,,,Cetaphil Gentle Skin Cleanser - 16 fl oz Cetaphil Softens As It Cleanses.CETAPHI
47,B000052YMX,0.37343,0.17242,,,Complex 15 Therapeutic Moisturizing Face Cream - 2.5 Ounce Dermatologist recomme
48,B000052YN5,0.17231,0.13107,Beauty,8992.0,"DML Daily Facial Moisturizer, SPF 25 - 1.5 Oz DML with broad spectrum sunscreens"
49,B000052YN7,0.04695,0.25799,Beauty,5582.0,DML Moisturizing Lotion 16 oz. DML For Daily Care of Dry Skin.Non-ComedogenicHyp
50,B000052YOL,-0.41712,0.47707,,,"Neutrogena Healthy Skin Anti-Wrinkle Cream, SPF 15, 1.4 Ounce Neutrogena Creams "
51,B000052YOR,0.1278,0.33636,,,"Neutrogena Body Oil, Light Sesame Formula, 8.5 Ounce Neutrogena Body Oil is a de"
52,B000052YOX,-0.4398,0.54222,,,"Neutrogena Oil-Free Moisture, Sensitive Skin, 4 Ounce Neutrogena Creams & Moistu"
53,B000052YP4,-0.48903,0.48187,,,"Neutrogena Light Night Cream, 2.25 Ounce Neutrogena Creams & Moisturizers Beauty"
54,B000052YP6,-0.04059,0.34273,,,"Neutrogena Norwegian Formula Hand Cream, Fragrance-Free (2 Ounce) Neutrogena Neu"
55,B000052YQ0,0.2376,0.25699,,,Olay Complete All Day Moisturizer With Sunscreen Broad Spectrum SPF 15 Normal 4 
56,B000052YQ2,0.32656,0.3165,,,Olay Complete All Day Moisturizer With Sunscreen Broad Spectrum SPF 15 - Sensiti
57,B000052YQN,-0.39905,0.39275,Beauty,14757.0,"POND'S Cold Cream Cleanser, 3.5 oz. Pond&#39;s Moisturizers Beauty Body Oils Ski"
58,B000052YQU,-0.38956,0.36777,,,"POND'S Dry Skin Cream Facial Moisturizer, 3.9-Ounce (Packaging May Vary) Pond&#3"
59,B000052Z5B,-0.08307,0.00865,Beauty,14650.0,"Coty Airspun Face Powder, Naturally Neutral, 2.3 oz Coty Light/Medium Neutral To"
60,B000052Z8D,0.07664,-0.04374,Beauty,193800.0,"Max Factor Pan-Stik Ultra Creamy Makeup, Sun Tone 137 .5 oz (14 g) The original "
61,B000052ZB1,0.18978,0.30529,,,"Neutrogena Intensified Day Moisture, SPF 15, 2.25 Ounce Intensified Day Moisture"
62,B000052ZB2,0.20204,0.29939,,,"Neutrogena Extra Gentle Cleanser, 6.7 Ounce Neutrogena Neutrogena extra gentle c"
63,B000052ZB4,0.36681,0.24997,,,"Neutrogena Deep Clean Facial Cleanser, Normal to Oily Skin, 6.7 Ounce Neutrogena"
64,B000052ZBD,0.23124,0.25454,,,"Neutrogena Rainbath Gel, Original, 16  Ounce Neutrogena Cleans, softens and cond"
65,B000052ZBH,0.21145,-0.00323,Beauty,71619.0,"Almay One Coat Nourishing Mascara, Thickening, Black 402, 0.4-Ounce Package Alma"
66,B000052ZBP,0.00446,0.08627,Beauty,8555.0,"Almay Moisturizing Eye Makeup Remover Pads, 80-Pads Almay Removes waterproof eye"
67,B000052ZTY,0.24021,-0.16154,Beauty,87667.0,Hugo By Hugo Boss For Men. Eau De Toilette Spray 1.3 Ounces HUGO BOSS Introduced
68,B00005302B,0.35488,0.25094,Beauty,78427.0,Jergen Extra Moisturizing Liquid Hand Wash 7.5 Oz Jergens Cleans completely: Thi
69,B00005304H,0.2118,-0.25765,Health & Personal Care,730.0,"Q-tips Cotton Swabs, 500 Count Q-Tips &lt;P&gt;More Cotton At The Tip* Than Any "
70,B0000530ED,0.08905,-0.08619,Beauty,20927.0,"L'Oreal Paris Feria Hair Color, 36 Dark Burgundy Brown/Chocolate Cherry L&#39;Or"
71,B0000530EZ,-0.49523,0.2918,,,Aussie Hair Insurance Leave-In Conditioner 8 Fl Oz (Pack of 3) Aussie Beauty Hai
72,B0000530G6,-0.43278,0.43906,Beauty,154273.0,"Suave Professionals Conditioner, Humectant - 12.6 Ounce Suave Beauty Hair Care C"
73,B0000530LO,-0.48064,0.41136,Beauty,10144.0,"Suave Naturals Shampoo, Daily Clarifying - 22.5oz. Suave Shampoos Beauty Hair Ca"
74,B0000530LP,-0.53309,0.40394,Beauty,19755.0,"Suave Shampoo, Daily Clarifying - 12oz. Suave Shampoos Beauty Hair Care"
75,B0000530LV,0.24519,0.13614,Beauty,63163.0,"Suave Naturals Shampoo, Sun Ripened Strawberry 22.5oz Suave Gentle Cleansing wit"
76,B0000530M0,-0.35979,0.34306,Beauty,143847.0,"Suave Professionals Humectant Moisture Shampoo , 12.6 fl Ounce (373 ml) Suave Sh"
77,B0000530NA,0.22221,0.276,Beauty,118863.0,"Olay Daily Care Refreshing Toner, 7.2-Fluid Ounce Olay Cleans and Refreshes with"
78,B0000530O9,0.20335,0.33897,,,Olay Age Defying Classic Eye Gel 0.5 Oz Olay Cooling gel revitalizes and moistur
79,B0000531GD,0.03193,0.0433,Beauty,13132.0,"Maybelline New York Shine Free Oil Control Pressed Powder, Ivory - 1 ea Maybelli"
80,B0000531GV,-0.06897,0.13089,Beauty,3868.0,"Maybelline New York Expert Eyes 100% Oil-Free Eye Makeup Remover, 2.3 Fl. Oz. Ma"
81,B0000531II,-0.10862,0.06708,Beauty,4672.0,"Maybelline New York Shine Free Oil Control Loose Powder, Light, 0.7 Ounce Maybel"
82,B0000531NU,0.22409,-0.06376,Beauty,11302.0,"Maybelline New York Volum' Express - Waterproof Mascara, Very Black - .34 fl oz "
83,B0000531SW,-0.19783,0.15236,Beauty,66685.0,"L'Oreal Paris Visible Lift Line-Minimizing &amp; Tone-Enhancing Makeup, Soft Ivo"
84,B0000531WZ,-0.5103,-0.01688,Beauty,269625.0,"Revlon Super Lustrous Creme Lipstick, Fire and Ice 720, 0.15 Ounce Revlon Made i"
85,B00005321Z,0.23409,0.10938,Beauty,19775.0,"Revlon Eterna '27' Moisture Cream with Progenitin, 2 Ounce Revlon Eterna '27' wa"
86,B0000532AN,0.26062,-0.15572,Beauty,24246.0,"Revlon Lash Curlers, 1 Count Revlon Superior Quality.&nbsp; Lifetime Guarantee.F"
87,B0000532VT,0.1655,0.01913,,,"Neutrogena Clean Conditioner, Replenishing , 10.1 Fluid Ounce Neutrogena &lt;P&g"
88,B0000532YN,0.16036,0.20813,,,"Kiss My Face Bar Soap, 8.0 oz, Pure Olive Oil. 1-Bar Kiss My Face A Natural Clea"
89,B00005333G,0.0328,0.34381,Beauty,5142.0,"L'Oreal Paris Hydra-Renewal Continuous Moisture Cream, 1.7 Ounce L&#39;Oreal Par"
90,B00005333I,0.22496,0.24451,Beauty,18260.0,"L'Oreal Paris Eye Defense, 0.5 Fluid Ounce L&#39;Oreal Paris This light, non-gre"
91,B0000533CC,0.24196,-0.19374,Health & Personal Care,2362.0,Instead 12 Hour Feminine Protection Cup 24 ea Instead Wear Time-BecauseInsteadco
92,B0000534VO,0.12252,0.20153,,,"Clean &amp; Clear Continuous Control Acne Cleanser,  5 oz  (141g) Clean &amp; Cl"
93,B0000535CH,0.17812,0.03825,Beauty,1209.0,Nature's Cure Two-part Acne Treatment System for Women 60 Tablets 1 Oz Cream Nat
94,B0000535OF,0.37991,0.18948,Beauty,13260.0,Alpha Hydrox Night Replenishing Cream 2 oz. Alpha Hydrox Light Moisturizer with 
95,B0000535RA,0.19383,0.30683,,,"Neutrogena Pore Refining Toner, Alpha and Beta Hydroxy Formula, 8.5 Ounce Neutro"
96,B0000535RC,0.33854,0.23821,Beauty,5893.0,"NeutrogenaClear Pore Oil Eliminating Astringent, 8 Ounce Neutrogena Clear Pore O"
97,B0000535RD,0.27482,0.23856,,,"Neutrogena Body Clear Body Wash for Clean, Clear Skin, 8.5 Ounce Neutrogena Neut"
98,B0000535U2,0.29926,-0.06439,Health & Personal Care,8357.0,"Jason C-Effects Creme, 2 Ounces Jason Natural Cosmetics In 1959, a group of inde"
99,B0000535UA,0.31033,-0.06382,,,"Jason Shampoo, Tea Tree, 17.5 Ounce Jason Natural In 1959, a group of independen"
100,B0000535UM,0.30299,-0.0451,,,"Jason Thin-To-Thick Extra Volume Shampoo, 8 Ounce Jason Natural In 1959, a group"
101,B0000535UN,0.19776,0.20717,,,Thin to Thick Extra Volume Conditioner 8 oz Jason Natural The Pro-Vitamin Thin-t
102,B0000535UT,0.21837,0.04663,Beauty,3204.0,Jason Purifying Tea Tree Body Wash 30 fl oz Jason Natural Cosmetics TRIEDITCOMME
103,B0000535UX,0.29832,-0.03957,,,"Jason Pure Natural Hand Soap, Purifying Tea Tree, 16 Ounce Jason Natural In 1959"
104,B0000535VH,0.28829,0.09045,Beauty,6510.0,"Alpha Hydrox Optimum Series, Retinol Night ResQ, Anti-Wrinkle Firming Complex - "
105,B000053676,0.13795,0.1119,Beauty,31339.0,"Avalon Organics Vitamin C Revitalizing Eye Creme, 1 Ounce Bottle Avalon Organics"
106,B0000536A3,-0.04846,0.07733,Health & Personal Care,7865.0,Tommy Hilfiger Tommy Cologne Spray for Men - 3.4 Fluid Ounces Tommy Hilfiger As 
107,B0000536EK,0.14375,0.14341,Beauty,1952.0,"Mother's Special Blend All Natural Skin Toning Oil, 8-Ounce Bottle Mountain Ocea"
108,B0000536EW,-0.00428,0.30127,,,"Aveeno Anti-Itch Concentrated Lotion, 4 Ounce Aveeno Fastacting, soothing itch r"
109,B0000536F0,0.12841,0.38264,,,"Aveeno Moisturizing Bar with Natural Colloidal Oatmeal for Dry Skin, Fragrance F"
110,B0000536M2,0.07597,-0.01267,Beauty,2544.0,"Maybelline New York Full 'N Soft Mascara, Very Black, 0.28 Oz. Maybelline Builds"
111,B0000536M3,0.21303,-0.03877,Beauty,25155.0,Maybelline Full' N Soft Mascara: Brownish Black #302 Maybelline Thick & Healthy 
112,B0000536P3,0.33876,0.32817,Beauty,163.0,Olay Total Effects 7-In-1 Anti-Aging Daily Moisturizer 1.7 Fl. Oz. Olay For thos
113,B0000536P4,0.34808,0.29235,Beauty,1730.0,Olay Total Effects Anti-Aging Fragrance Free Moisturizer 1.7 Fl Oz Olay For thos
114,B00005375C,0.31414,0.35631,,,"Aveeno Daily Moisturizing Lotion, 8 Ounce Aveeno This dermatologist recommended "
115,B0000537NH,-0.01824,0.282,,,"Neutrogena Sensitive Skin Sunscreen Lotion, SPF 30, 4 Ounce Broad Spectrum UVA/U"
116,B0000537SD,0.29588,0.04755,Beauty,24484.0,"ZapZyt Acne Treatment Gel, 1 oz Zapzyt Zap the ZitZapZyt Acne Treatment Gel prev"
117,B000053L6W,0.03639,0.1233,Beauty,5653.0,"Clubman Pinaud Virgin Island Bay Rum, 12 Ounce Clubman Pinaud Clubman Pinaud vir"
118,B000056I89,0.28981,0.18415,,,"Cetaphil Daily Facial Cleanser, Normal to Oily Skin - 8 fl oz Cetaphil Cleanses "
119,B000056W5Y,-0.01489,0.30956,Beauty,5945.0,"Palmer's Cocoa Butter Formula Massage Cream for Stretch Marks, 4.4 Ounce Palmer&"
120,B000056W74,0.00826,0.34531,Beauty,9038.0,Palmer's Cocoa Butter Formula Moisturizing Body Oil with Vitamin E -- 8.5 fl oz 
121,B00005A43X,0.31379,-0.22333,Beauty,1845.0,"Conair Supreme 2-In-1 Hot Air Styling Brush Conair For soft, long-lasting, volum"
122,B00005A443,0.23587,-0.21313,Beauty,2123.0,"Conair Double-Sided Battery-Operated Lighted Makeup Mirror, Polished Chrome Fini"
123,B00005A9WP,0.35725,-0.23253,Beauty,797.0,Coanir Facial Sauna System with Timer Conair This unit can be used to steam open
124,B00005AVC7,0.09878,-0.00558,,,Clean &amp; Clear Instant Oil-Absorbing Sheets 50 sheets Clean &amp; Clear Clean
125,B00005B9FV,0.29263,0.26666,,,"Eucerin Q10 Anti-Wrinkle Sensitive Skin Lotion SPF, 4 Ounce Eucerin Eucerin Q10 "
126,B00005CDSP,0.29758,-0.21297,Beauty,9493.0,Revlon Perfect Heat 1-1/2inch Curling Iron Revlon When it comes to curling irons
127,B00005IBW0,-0.40064,0.3558,,,"St. Ives, Sensitive Skin Apricot Scrub, 6-Ounce (Pack of 6) Beauty Scrubs Exfoli"
128,B00005LBRT,0.3151,0.08349,Beauty,16307.0,"Avalon Organics Lavender Luminosity Daily Moisturizer, 2 Ounce Avalon Organics I"
129,B00005NAOD,0.28179,0.26624,,,"Eucerin Q10 Anti-Wrinkle Sensitive Skin Creme, 1.7 Ounce Jar Eucerin Eucerin Q10"
130,B00005NAOJ,0.21609,0.16342,,,Cetaphil Gentle Cleansing Bar - 4.5 oz Cetaphil 1 Bar ~ Net Wt 4.5 oz (127g)For 
131,B00005NASR,0.13563,0.25715,Beauty,8012.0,"Ecco Bella Original Organic Water-Free Herbal Body Lotion, Vanilla, 8-Ounce Bott"
132,B00005NFBD,0.26535,0.13427,Beauty,1560.0,"Freeman Facial Masque, Purifying - 6 fl oz Freeman Simplified BeautyPure Ambitio"
133,B00005NFBJ,0.10378,0.19209,Beauty,1326.0,Freeman Cucumber Facial Peel-Off Mask - 6 oz Freeman Clarifies and Renews SkinMa
134,B00005O0MZ,0.36615,-0.1236,Beauty,135.0,Conair 1875 Watt Ionic Conditioning Hair Dryer Conair Dry your hair and improve 
135,B00005R1H2,0.24421,0.08315,Beauty,5872.0,Skin Success Eventone Fade Milk with Vitamin E and Alpha Hydroxy - 8.5 Fluid Oun
136,B00005R1H3,0.23237,0.09284,Beauty,16099.0,"Skin Success Eventone Fade Cream, For Oily Skin - 2.7 oz Skin Success With Vitam"
137,B00005REAQ,-0.14159,0.32219,Beauty,4570.0,Alba BotanicaTM Even Advanced Natural Moisturizer Sea Moss SPF 15 -- 2 fl oz Alb
138,B00005REAT,0.09914,0.18636,Beauty,86574.0,"Body Bath Honey Mango Alba Botanica 12 oz Liquid Alba Botanica Since 1979, Alba "
139,B00005S81T,0.2585,0.09111,Beauty,20987.0,"Skin Success Eventone Fade Cream, Regular - 2.7 oz Skin Success With Vitamins C "
140,B00005T83D,0.21263,0.17471,Beauty,11966.0,"Palmer's Cocoa Butter Formula, Cream Soap Bar with Vitamin E, 3.5 oz - 1 ea Palm"
141,B00005TZU8,0.37551,-0.04256,Health & Personal Care,8779.0,"DreamTime Inner Peace Eye Pillow, Lavender Velvet DreamTime Discover the inner p"
142,B00005UN90,-0.48351,0.42942,Beauty,134471.0,"Suave Naturals Body Wash, Ocean Breeze - 12oz. Suave Moisturizers Beauty Body Oi"
143,B00005UQSP,0.32593,0.16401,,,"EO Shampoo for Fine/Oily Hair, Rosemary &amp; Mint, 8 fl oz (240 ml) EO Volumizi"
144,B00005V5OU,0.20603,0.31539,,,"Neutrogena Healthy Defense Daily Moisturizer, SPF 30, Light Tint 1.7 Ounce Neutr"
145,B00005V5OW,0.07322,-0.06586,Beauty,4811.0,"Maybelline Lash Discovery Washable Mascara, Very Black - .16 fl oz Maybelline Ex"
146,B00005V5P6,-0.06326,0.08135,Beauty,27210.0,"Maybelline New York Purestay Powder &amp; Foundation SPF 15, Ivory - .34 oz Mayb"
147,B0000632EE,0.29407,0.04144,Beauty,17865.0,"Fallene Total Block UVA/UVB Complete Broad Spectrum Sun Protection, SPF 65 Clear"
148,B0000632EN,0.16121,0.3495,,,"Aveeno Positively Radiant Skin Brightening Daily Scrub, 5 Ounce Aveeno This dail"
149,B00006598X,0.16163,-0.03545,Beauty,14066.0,"Aquis Microfiber Hair Towel, Lisse Crepe, Pink (19 x 39-Inches) Aquis Aquis towe"
150,B000065DJY,0.32929,-0.05764,Beauty,11259.0,"Revlon Perfect Heat 1875W Shine Boosting Hair Dryer, RV484 Revlon Give yourself "
151,B000065DK4,0.3016,-0.23138,Beauty,233085.0,Vidal Sassoon VS184C Three-Barrel Waver Vidal Sassoon Like three curling irons m
152,B000066CKS,0.15899,0.02674,Sports &amp; Outdoors,14406.0,Badger - Healing Balm For Hardworking Hands Badger Healing Balm For Hardworking 
153,B0000682T7,0.3074,0.04658,Health & Personal Care,13961.0,"Badger Balm, Sleep Balm - 2 oz Badger A dreamy night balm rich with precious oil"
154,B0000683O5,0.06095,-0.03788,,,"CoverGirl Lipslicks Lip Gloss, Clear - .14 oz COVERGIRL Hint of ShimmerSheer Shi"
155,B000068U49,-0.19535,-0.01442,Beauty,8059.0,Kingsley Shave Soap Bowl with Lid Dark Wood Pendergrass Shaving Bowl This Shavin
156,B00006FDU6,0.22632,-0.30153,Beauty,9048.0,Conair Straight Waves 3-in-1 Specialty Styler Conair Get maximum efficiency from
157,B00006FE30,-0.40397,0.35475,,,"Neutrogena Clear Pore Cleanser/Mask, 4.2 Fluid Ounce (125 ml) Neutrogena 3524078"
158,B00006FRW7,0.3466,0.28183,,,"Aveeno Clear Complexion Daily Moisturizer, 4 Ounce Aveeno This daily moisturizer"
159,B00006IGL3,0.34111,0.1602,,,"Kiss My Face Organics Break Out, Botanical Acne Gel, 1 fl oz Kiss My Face Certif"
160,B00006IGL8,0.06795,0.24341,,,"Kiss My Face Deep Cleansing Mask Pore Shrink , 2 Fluid Ounce Kiss My Face For a "
161,B00006IV22,0.30508,-0.20369,Beauty,634.0,Conair 1875 Watt Dual Voltage Folding Handle Hair Dryer Conair The conair ion sh
162,B00006IV2E,0.21749,-0.15473,Beauty,21716.0,"Conair BC40JBC Hot Brush, White, 0.75 Inch Conair This 3/4-inch styling brush fe"
163,B00006IV2F,0.08481,-0.17561,Beauty,2789.0,"Instant Heat Hot Brush, 3/4-Inch Conair Features:Automatic shut offTangle-free b"
164,B00006IV30,0.14463,-0.16123,Beauty,1292.0,Conair Instant Heat Travel Hairsetter Conair The jumbo rollers instant heat trav
165,B00006JN4F,0.08749,-0.0206,Beauty,6895.0,"L'Oreal Paris Superior Preference Hair Color, LB-01 Extra Light Ash Blonde L&#39"
166,B00006JT6O,0.34349,0.25672,Beauty,607.0,Olay Total Effects Anti-Aging Night Firming Treatment - 1.7 Fl Oz Olay For those
167,B00006K14U,-0.50143,0.35839,,,"Nivea for Men Energy Face Scrub, 4.4 Ounce Tube Nivea Men Beauty Scrubs Exfoliat"
168,B00006L9KV,0.3133,0.14126,Beauty,12300.0,Thicker Fuller Hair Revitalizing Shampoo-12 oz Thicker Fuller Hair Pure plant ex
169,B00006L9KW,0.24033,0.11154,Beauty,22392.0,Thicker Fuller Hair Weightless Conditioner-12 oz Thicker Fuller Hair Advanced Th
170,B00007FCQ1,0.11354,0.07957,,,"Blue Lizard Australian Sunscreen, Regular, SPF 30+, 8.75-Ounce Bottle Blue Lizar"
171,B00007KQF3,0.27169,0.02643,,,"Barielle Nail Strengthener Cream, 1 Ounce Barielle This exclusive formula, used "
172,B00007M0CP,0.34535,-0.20436,Beauty,4173.0,"Conair Xtreme Instant Heat Multisized Hot Rollers, Pink Conair Quick to heat and"
173,B000087L6T,-0.21042,0.31901,Beauty,13332.0,"Rose Milk Skin Care Lotion - 8 fl oz LEE PHARMACEUTICAL CO. For Softer, Smoother"
174,B000089SA4,0.13873,-0.17722,Beauty,24636.0,Soap Glycerine Vitamin-E 4 Ounces Clearly Natural &lt;P&gt;&lt;UL&gt; &lt;LI&gt;
175,B00008BNZ4,0.0853,-0.25327,Health & Personal Care,88066.0,Wahl 79900B Clip-N-Trim 23-Piece Complete Haircut Kit Wahl The Wahl Clip-N-Trim 
176,B00008CMOQ,0.30995,0.05616,Beauty,370.0,"Queen Helene Mint Julep Masque, 8 Ounce Queen Helene The Original Mint Julep Mas"
177,B00008CMOR,0.30413,0.12454,Beauty,14664.0,Queen Helene Original Formula Antioxidant Grape Seed Extract Peel Off Masque -- 
178,B00008CMOS,0.26582,0.04778,Beauty,7758.0,"Queen Helene Masque, Mud Pack - 8 oz Queen Helene The Original Natural English C"
179,B00008DPP8,0.0686,0.29708,Beauty,61635.0,"Softsoap Naturals Moisturizing Liquid Hand Soap with Milk &amp; Honey, Pump - 7."
180,B00008J2XQ,0.08231,0.2805,,,"Aveeno Active Naturals Skin Relief Hand Cream, 3.5 Ounce Aveeno This unique, non"
181,B00008KA7P,-0.4132,0.14896,Health & Personal Care,3934.0,No Rinse Shampoo - 16 floz (473.1 mL) Clean Life Products 16 oz Bottle Shampoos 
182,B00008KA8D,0.27432,-0.05545,Beauty,104894.0,"Revlon ColorStay Overtime Liquid Lipcolor, Keep Blushing Revlon 8 hours of color"
183,B00008MNZH,-0.42859,0.52081,,,"Eucerin Daily Protection Moisturizing Face Lotion, Broad Spectrum SPF 30 Eucerin"
184,B00008MOQE,0.02435,-0.04607,Beauty,14072.0,"Maybelline Great Lash Mascara, Very Black -.43 Fluid Ounce Maybelline Maybelline"
185,B00008MOQJ,0.06999,-0.06957,Beauty,7030.0,Maybelline Great Lash Curved - Very Black Maybelline Maybelline&#x92;s lash-doub
186,B00008MOQN,0.02821,-0.04441,Beauty,665.0,"Maybelline Great Lash Waterproof Mascara, Very Black- .43 Fluid Ounce Maybelline"
