item_id,item_text,rank,neighbor_item_id,cosine_similarity,neighbor_text
5,"Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce Avalon Organics It's in our name: Avalon Or",2,3785,0.97638,"Avalon Organics Vitamin C Renewal Cream, 2 Ounce (Pack of 2) Avalon Organics It's in our name: Avalo"
5,"Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce Avalon Organics It's in our name: Avalon Or",3,3763,0.97203,"Avalon Organics Thickening Conditioner, 14 Ounce (Pack of 3) Avalon Organics It's in our name: Avalo"
5,"Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce Avalon Organics It's in our name: Avalon Or",4,492,0.97032,"Avalon Organics Hand &amp; Body Lotion, Peppermint, 12 Ounce Avalon Organics It's in our name: Avalo"
5,"Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce Avalon Organics It's in our name: Avalon Or",5,3788,0.96988,"Avalon Organics Vitamin C Renewal Hydrating Cleansing Milk, 8.5 Ounce Bottles (Pack of 2) Avalon Org"
6,"Better Living Classic Two Chamber Dispenser, White Classic Qality designed two chamber that utilizes",1,7,0.84484,"Better Living The Ulti-Mate Dispenser Better Living The Ulti-Mate Dispenser III, provides a perfect "
6,"Better Living Classic Two Chamber Dispenser, White Classic Qality designed two chamber that utilizes",2,10652,0.81623,"Simple Human Moisturizing Liquid Hand Soap with Refill Pouch, Lavender Plus Vitamin E, 34 Fluid Ounc"
6,"Better Living Classic Two Chamber Dispenser, White Classic Qality designed two chamber that utilizes",3,1715,0.81426,Liquid Push Down Alcohol Dispenser- Clear Bottle- Labeled - 9 Oz Bottle Tech-Med Perfect for alcohol
6,"Better Living Classic Two Chamber Dispenser, White Classic Qality designed two chamber that utilizes",4,7783,0.8082,"Envision Dish Drying Mat Cream, 16 in. x 18 in. Microfiber products are kitchen and clean up essenti"
6,"Better Living Classic Two Chamber Dispenser, White Classic Qality designed two chamber that utilizes",5,7711,0.80516,"Green N Pack 13 Gallon Tall Kitchen Drawstring Bag, Tall Kitchen Trash Liners Green &#39;N&#39; Pack"
7,"Better Living The Ulti-Mate Dispenser Better Living The Ulti-Mate Dispenser III, provides a perfect ",1,6,0.84484,"Better Living Classic Two Chamber Dispenser, White Classic Qality designed two chamber that utilizes"
7,"Better Living The Ulti-Mate Dispenser Better Living The Ulti-Mate Dispenser III, provides a perfect ",2,4004,0.81157,"Better Living Products Toilet Caddy Tissue Dispenser with Magazine Rack, Satin Nickel Better Living "
7,"Better Living The Ulti-Mate Dispenser Better Living The Ulti-Mate Dispenser III, provides a perfect ",3,637,0.80752,"King Dy-zoff Pads 80-ct. King Research Product Description
Simple, sanitary, convenient pads contain"
7,"Better Living The Ulti-Mate Dispenser Better Living The Ulti-Mate Dispenser III, provides a perfect ",4,7825,0.80578,"Nifty Cosmetic Organizing Carousel, Cream Nifty Home Products The Nifty cosmetic organizing carousel"
7,"Better Living The Ulti-Mate Dispenser Better Living The Ulti-Mate Dispenser III, provides a perfect ",5,489,0.80412,Ion Shine&reg; by Conair Instant Heat Compact Styling Setter Conair When you're on the go and there'
8,"Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz) Crabtree &amp; Evelyn You've watch",1,9,0.84424,Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ After a long d
8,"Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz) Crabtree &amp; Evelyn You've watch",2,3477,0.83326,Village Naturals Bath Shoppe White Tea &amp; Jasmine Body Soak 31 oz Village Naturals Village Natura
8,"Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz) Crabtree &amp; Evelyn You've watch",3,4322,0.82362,Village Naturals Bath Shoppe Lavender &amp; Chamomile Body Salt 31 oz The Village Company Village na
8,"Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz) Crabtree &amp; Evelyn You've watch",4,3657,0.82332,"Upper Canada Soap And Candle Naturally Whipped Hand Repair, Pressed Olive Avocado, 4-Ounce Tubes (Pa"
8,"Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz) Crabtree &amp; Evelyn You've watch",5,10462,0.82231,"C. Booth 4-In-1 Multi-Action Body Lotion, Lemon Sugar, 32 Fluid Ounce c. Booth Lemon and succulent s"
9,Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ After a long d,1,5496,0.92557,"Citron, Honey &amp; Coriander Ultra-Moisturising Hand Therapy Crabtree &amp; Evelyn Lock in lashings"
9,Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ After a long d,2,5933,0.92126,"Weleda Sea Buckthorn Hand Cream, 1.7 Ounce Weleda Dry, thirsty hands get replenishing moisture and r"
9,Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ After a long d,3,3938,0.91899,"L'Occitane Shea Butter Hand Cream, 5.2 oz. InStyle Editor's Pick - 2011 Best Beauty Buy  Best Hand C"
9,Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ After a long d,4,8365,0.91527,"Pomegranate, Argan &amp; Grapeseed Ultra-Moisturising Hand Therapy Crabtree &amp; Evelyn Lock in las"
9,Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ After a long d,5,4873,0.90776,"Burt's Bees Honey &amp; Shea Butter Body Butter, 6.6oz Jar Burt&#39;s Bees Natural mango and shea bu"
10,"Instant Heat Curling Iron, 1-Inch Conair Welcome to the world of advanced styling, where curling iro",1,7717,0.85435,Revlon 2-in-1 Tourmaline Ceramic Styling Iron Revlon Streamline your morning routine while maintaini
10,"Instant Heat Curling Iron, 1-Inch Conair Welcome to the world of advanced styling, where curling iro",2,12005,0.84972,Vidal Sassoon Pro Series 1 Inch Touch Control Digital Curling Iron Introducing the all new Vidal Sas
10,"Instant Heat Curling Iron, 1-Inch Conair Welcome to the world of advanced styling, where curling iro",3,845,0.84749,Farouk CHI GF1539 Turbo Big 2 Inch Ceramic Flat Iron Hair Straightener Take your hair from bland to 
10,"Instant Heat Curling Iron, 1-Inch Conair Welcome to the world of advanced styling, where curling iro",4,4150,0.844,"Remington S1051 Salon Quality, Professional Ceramic Hair Straightener The Remington Professional lin"
10,"Instant Heat Curling Iron, 1-Inch Conair Welcome to the world of advanced styling, where curling iro",5,5986,0.84356,Conair YOU CURL Curling Wand Conair You Curl. New shape. No clip. The Infiniti by Conair You Curl le
11,"Maybelline New York Expert Wear Brow &amp; Eyeliner, 151 Velvet Black , .011 oz (310 mg) Maybelline ",1,2700,0.93509,"Maybelline New York Expert Wear Twin Brow and Eye Pencils, 107 Blonde, 0.03 Ounce Maybelline Dual pu"
11,"Maybelline New York Expert Wear Brow &amp; Eyeliner, 151 Velvet Black , .011 oz (310 mg) Maybelline ",2,2352,0.93011,"Maybelline New York Expert Wear Twin Brow and Eye Pencils, 101 Velvet Black, 0.03 Ounce Maybelline D"
11,"Maybelline New York Expert Wear Brow &amp; Eyeliner, 151 Velvet Black , .011 oz (310 mg) Maybelline ",3,2353,0.92873,"Maybelline New York Expert Wear Twin Brow and Eye Pencils, 103 Medium Brown, 0.06 Ounce Maybelline D"
11,"Maybelline New York Expert Wear Brow &amp; Eyeliner, 151 Velvet Black , .011 oz (310 mg) Maybelline ",4,2689,0.92869,"Maybelline New York Expert Wear Twin Brow and Eye Pencils, 104 Light Brown, 0.06 Ounce Maybelline Du"
11,"Maybelline New York Expert Wear Brow &amp; Eyeliner, 151 Velvet Black , .011 oz (310 mg) Maybelline ",5,4074,0.91337,"Maybelline New York Define-A-Line Eyeliner, Ebony Black, 0.01 Ounce Maybelline Glides on smoothly an"
12,"Maybelline New York Cover Stick Concealer, Ivory, Light 2, 0.16 Ounce Maybelline Completely conceals",1,2596,0.94622,"Almay Line Smoothing Concealer with SPF 10, Light 100, 0.18 Ounce Package Almay Under-eye concealer."
12,"Maybelline New York Cover Stick Concealer, Ivory, Light 2, 0.16 Ounce Maybelline Completely conceals",2,4139,0.93252,"Maybelline New York Mineral Power Concealer, Ivory, Light 2-3, 0.18 Fluid Ounce Maybelline micro min"
12,"Maybelline New York Cover Stick Concealer, Ivory, Light 2, 0.16 Ounce Maybelline Completely conceals",3,5054,0.93235,"Maybelline New York Super Stay 24Hr Concealer, Deep Beige 750, 0.18 Fluid Ounce Maybelline Superstay"
12,"Maybelline New York Cover Stick Concealer, Ivory, Light 2, 0.16 Ounce Maybelline Completely conceals",4,9503,0.93087,"LA GIRL Pro Conceal - LGC983 Fawn L.A. Girl Crease resistant, opaque coverage in a creamy yet light "
12,"Maybelline New York Cover Stick Concealer, Ivory, Light 2, 0.16 Ounce Maybelline Completely conceals",5,9501,0.92833,"LA GIRL Pro Conceal - LGC981 Toast L.A. Girl Crease resistant, opaque coverage in a creamy yet light"
13,"Maybelline New York Expert Eyes Moisturizing Eye Makeup Remover, 2.3 Fl. Oz. Maybelline Gently remov",1,80,0.92924,"Maybelline New York Expert Eyes 100% Oil-Free Eye Makeup Remover, 2.3 Fl. Oz. Maybelline This 100% o"
13,"Maybelline New York Expert Eyes Moisturizing Eye Makeup Remover, 2.3 Fl. Oz. Maybelline Gently remov",2,7245,0.90418,Mary Kay Oil Free Eye Makeup Remover 3.75 fluid ounce Mary Kay Brand new product in original boxes. 
13,"Maybelline New York Expert Eyes Moisturizing Eye Makeup Remover, 2.3 Fl. Oz. Maybelline Gently remov",3,66,0.89222,"Almay Moisturizing Eye Makeup Remover Pads, 80-Pads Almay Removes waterproof eye makeup and longwear"
13,"Maybelline New York Expert Eyes Moisturizing Eye Makeup Remover, 2.3 Fl. Oz. Maybelline Gently remov",4,1889,0.89011,"Dermalogica Soothing Eye Make-Up Remover, 8 Fluid Ounce Dermalogica This is an efficient, clean-rins"
13,"Maybelline New York Expert Eyes Moisturizing Eye Makeup Remover, 2.3 Fl. Oz. Maybelline Gently remov",5,4914,0.88127,"Philosophy Just Release Me Eye Makeup Remover, 6 Ounce Philosophy Just release me effectively remove"
14,"Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , .25 fl oz (7.3 ml) Maybell",1,2705,0.91718,"Maybelline New York Line Stylist-Carded, Onyx, 0.0010 Ounce Maybelline Line stylist eyeliner creates"
14,"Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , .25 fl oz (7.3 ml) Maybell",2,5052,0.91667,"Maybelline New York Line Stiletto Ultimate Precision Liquid Eyeliner, 502 Black, 0.05 Fluid Ounce Ma"
14,"Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , .25 fl oz (7.3 ml) Maybell",3,2352,0.91569,"Maybelline New York Expert Wear Twin Brow and Eye Pencils, 101 Velvet Black, 0.03 Ounce Maybelline D"
14,"Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , .25 fl oz (7.3 ml) Maybell",4,2700,0.91546,"Maybelline New York Expert Wear Twin Brow and Eye Pencils, 107 Blonde, 0.03 Ounce Maybelline Dual pu"
14,"Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , .25 fl oz (7.3 ml) Maybell",5,3237,0.9122,"CoverGirl Lineexact Liquid Eyeliner, Very Black 600,  0.020 - Ounce Packages (Pack of 2) COVERGIRL C"
15,"Nullo Internal Deodorant, Coated Caplets, 135 Caplets Monticello Chlorophyllin Copper Complex 100g D",1,496,0.80964,"Nutricology Ox Bile, 500 mg,  100 Vegetarian Capsules Nutricology Derived from a bovine source and f"
15,"Nullo Internal Deodorant, Coated Caplets, 135 Caplets Monticello Chlorophyllin Copper Complex 100g D",2,5382,0.80665,"Mason Vitamins Collagen Beauty Cream 100% Pure Collagen Pear Scent, 2-Ounce Jars (Pack of 2) Mason V"
15,"Nullo Internal Deodorant, Coated Caplets, 135 Caplets Monticello Chlorophyllin Copper Complex 100g D",3,11540,0.80343,"Moroccan Mint Scented Anti Cellulite Cream with Indian Ginseng, Oregano, Horsetail, Juniper Berry, C"
15,"Nullo Internal Deodorant, Coated Caplets, 135 Caplets Monticello Chlorophyllin Copper Complex 100g D",4,7411,0.80064,"ClearZine (2 Bottles) - The Top Rated Acne Treatment Pill. Eliminates Blotchiness, Redness, Blackhea"
15,"Nullo Internal Deodorant, Coated Caplets, 135 Caplets Monticello Chlorophyllin Copper Complex 100g D",5,978,0.79891,"Symbiotics Colostrum Plus, 240 Capsules Symbiotics Fight back with Colostrum Plus! Your immune defen"
16,"Vagisil Anti-Itch Creme, Original Formula - 1 oz Vagisil High Purity Creme with Vitamins E, A &amp; ",1,4512,0.88086,"Cocoa Butter Formula with Vitamin E Cream Unisex by Palmer's, 13.25 Ounce Palmer&#39;s Palmer's Coco"
16,"Vagisil Anti-Itch Creme, Original Formula - 1 oz Vagisil High Purity Creme with Vitamins E, A &amp; ",2,36,0.87262,Fruit Of The Earth 100% Aloe Vera 6oz. Gel Tube Fruit of the Earth Non-Oily Moisturizer Provides Eff
16,"Vagisil Anti-Itch Creme, Original Formula - 1 oz Vagisil High Purity Creme with Vitamins E, A &amp; ",3,853,0.87202,"Fruit Of The Earth 100 % Aloe Vera Gel, 12 oz, 1-Pack Fruit of the Earth Non-Oily Moisturizer Provid"
16,"Vagisil Anti-Itch Creme, Original Formula - 1 oz Vagisil High Purity Creme with Vitamins E, A &amp; ",4,3672,0.87073,"Aveeno Active Naturals Skin Relief Moisturizing Lotion with Soothing Oatmeal Essence, 18-Ounce Bottl"
16,"Vagisil Anti-Itch Creme, Original Formula - 1 oz Vagisil High Purity Creme with Vitamins E, A &amp; ",5,4367,0.86677,Derma E Skinbiotics Treatment Creme -- 4 oz Derma E derma e Skinbiotics Treatment Creme blends eco-f
17,"Pretty Feet &amp; Hands Rough Skin Remover-Exfoliant, 3-Ounce Bottles (Pack of 3) Pretty Feet &amp; ",1,4771,0.85677,"Clean &amp; Clear Blackhead Eraser Cleansing Mask, 4 Ounce (Pack of 3) Clean &amp; Clear Clean & Cle"
17,"Pretty Feet &amp; Hands Rough Skin Remover-Exfoliant, 3-Ounce Bottles (Pack of 3) Pretty Feet &amp; ",2,4301,0.85155,Aveeno Daily Detoxifying Scrub 5.0 OZ Aveeno Aveeno Daily Detoxifying Scrub 5.0 OZ. Reveal your bril
17,"Pretty Feet &amp; Hands Rough Skin Remover-Exfoliant, 3-Ounce Bottles (Pack of 3) Pretty Feet &amp; ",3,9083,0.84823,"Biore Deep Cleansing Pore Strips, 24 Count Biore Tag team help for your blackheads: Here's a special"
17,"Pretty Feet &amp; Hands Rough Skin Remover-Exfoliant, 3-Ounce Bottles (Pack of 3) Pretty Feet &amp; ",4,8094,0.84686,"Clean &amp; Clear OilFree Daily Pore Cleanser, 5.5 Ounce (Pack of 2) Clean &amp; Clear This unique d"
17,"Pretty Feet &amp; Hands Rough Skin Remover-Exfoliant, 3-Ounce Bottles (Pack of 3) Pretty Feet &amp; ",5,1159,0.8465,"Aqua Glycolic Hand &amp; Body Lotion, 6 fl oz (177 ml) Aqua Glycolic Alpha Hydroxy Acid Skin Care Sy"
18,DHS Clear Shampoo 8 Fl Oz Person &amp; Covey Recommended by DermatologistsDHS&trade; Clear contains ,1,224,0.95469,DHS Clear Shampoo 8 oz DHS DHS Clear Shampoocontains a unique blend of special cleansing and conditi
18,DHS Clear Shampoo 8 Fl Oz Person &amp; Covey Recommended by DermatologistsDHS&trade; Clear contains ,2,587,0.92079,Pharmaceutical Specialties Free and Clear Shampoo 12 oz. Pharmaceutical Specialties Pharmaceutical S
18,DHS Clear Shampoo 8 Fl Oz Person &amp; Covey Recommended by DermatologistsDHS&trade; Clear contains ,3,6905,0.91031,WEN&reg; Sweet Almond Mint Cleansing Conditioner 16oz WEN&reg; by Chaz Dean Sweet Almond Mint is the
18,DHS Clear Shampoo 8 Fl Oz Person &amp; Covey Recommended by DermatologistsDHS&trade; Clear contains ,4,5981,0.90604,"Kiss My Face Whenever Shampoo, Green Tea &amp; Lime, Value Size, 32 Ounce Kiss My Face Whenever sham"
18,DHS Clear Shampoo 8 Fl Oz Person &amp; Covey Recommended by DermatologistsDHS&trade; Clear contains ,5,9875,0.90527,WEN by Chaz Dean Sweet Almond Mint Cleansing Conditioner 16 oz WEN&reg; by Chaz Dean Sweet Almond Mi
19,"Neutrogena T-Gel Shampoo, Stubborn Itch Control, 4.4 Ounce Neutrogena Shampoos Beauty Hair Care",1,717,0.93598,"Neutrogena Shampoo, Anti-Residue Formula, 6 Ounce Neutrogena Shampoos Beauty Hair Care"
19,"Neutrogena T-Gel Shampoo, Stubborn Itch Control, 4.4 Ounce Neutrogena Shampoos Beauty Hair Care",2,3691,0.89707,"Neutrogena Oil-Free Deep Clean Cream Cleanser, 7 Ounce (Pack of 3) Neutrogena Beauty Cleansers Skin "
19,"Neutrogena T-Gel Shampoo, Stubborn Itch Control, 4.4 Ounce Neutrogena Shampoos Beauty Hair Care",3,2934,0.89402,"Neutrogena Oil-Free Acne Stress Control Power-Cream Wash, 6 Ounce (Pack of 3) Neutrogena Beauty Skin"
19,"Neutrogena T-Gel Shampoo, Stubborn Itch Control, 4.4 Ounce Neutrogena Shampoos Beauty Hair Care",4,7083,0.89292,"Neutrogena Acne Stress Control Gel Cleanser, 6 FL Ounce (Pack of 2) Neutrogena Skin Care Beauty Face"
19,"Neutrogena T-Gel Shampoo, Stubborn Itch Control, 4.4 Ounce Neutrogena Shampoos Beauty Hair Care",5,2470,0.88654,"Suave Naturals Gentle Cleansing Shampoo, Waterfall Mist, 12 oz Suave Shampoos Beauty Hair Care"
20,"Neutrogena T/Sal Shampoo, Scalp Build-up Control, 4.5 fl oz Neutrogena Clears and helps prevent flak",1,9097,0.85696,"SCALPICIN Max Strength Scalp Itch Treatment, 1.5 Ounce Scalpicin Odorless, greaseless formula won't "
20,"Neutrogena T/Sal Shampoo, Scalp Build-up Control, 4.5 fl oz Neutrogena Clears and helps prevent flak",2,8005,0.85375,"Neutrogena T/Gel Daily Control 2-in-1 Dandruff Shampoo Plus Conditioner, 8.5 Ounce (Pack of 2) Neutr"
20,"Neutrogena T/Sal Shampoo, Scalp Build-up Control, 4.5 fl oz Neutrogena Clears and helps prevent flak",3,1377,0.85368,DHS Tar Shampoo (8 oz) DHS DHS Tar Shampoohelps control symptoms of:PsoriasisSeborrheic DermatitisDa
20,"Neutrogena T/Sal Shampoo, Scalp Build-up Control, 4.5 fl oz Neutrogena Clears and helps prevent flak",4,221,0.85048,Neutrogena T/Gel Original Shampoo - 16 oz Neutrogena T/Gel Shampoo Original(New Scent) starts to wor
20,"Neutrogena T/Sal Shampoo, Scalp Build-up Control, 4.5 fl oz Neutrogena Clears and helps prevent flak",5,135,0.84792,Skin Success Eventone Fade Milk with Vitamin E and Alpha Hydroxy - 8.5 Fluid Ounces Skin Success For
21,DHS Conditioning Rinse With Panthenol 8 fl oz DHS DHS Conditioning Rinse is specially formulated for,1,8708,0.91069,"Dermorganic Daily Hydrating Conditioner, 33.8 Ounce DermOrganic Dermorganic daily hydrating conditio"
21,DHS Conditioning Rinse With Panthenol 8 fl oz DHS DHS Conditioning Rinse is specially formulated for,2,1231,0.90935,Terax Life Drops- Leave-in Protein Cond for Damaged Hair 6.7 oz Terax Terax Life Drops Leave In Cond
21,DHS Conditioning Rinse With Panthenol 8 fl oz DHS DHS Conditioning Rinse is specially formulated for,3,1819,0.90745,"Avlon Keracare Humecto Creme Conditioner for Unisex, 8 Ounce Avlon KeraCare Humecto Creme Conditione"
21,DHS Conditioning Rinse With Panthenol 8 fl oz DHS DHS Conditioning Rinse is specially formulated for,4,6214,0.90277,"Rusk Deepshine Keratin Care Smoothing Conditioner Unisex, 12 Ounce Rusk A sodium chloride-free, colo"
21,DHS Conditioning Rinse With Panthenol 8 fl oz DHS DHS Conditioning Rinse is specially formulated for,5,887,0.90005,"Mane 'n Tail Moisture Enriched Hair Strengthener, Bonus, 6 oz. Mane &#39;n Tail Mane 'n tail hair st"
22,"Alberto VO5 Moisturizing Hot Oil Treatment, 0.5 Ounce, 2-Count Tubes (Pack of 6) Alberto VO5 Restore",1,8023,0.90876,Ojon Damage Reverse Restorative Hair Treatment 3.1 oz Ojon What is this product? 64% improvement in 
22,"Alberto VO5 Moisturizing Hot Oil Treatment, 0.5 Ounce, 2-Count Tubes (Pack of 6) Alberto VO5 Restore",2,692,0.90684,"Extreme Cat Protein Treatment Unisex Treatment by Redken, 5 Ounce Redken No More Weak Listless HairR"
22,"Alberto VO5 Moisturizing Hot Oil Treatment, 0.5 Ounce, 2-Count Tubes (Pack of 6) Alberto VO5 Restore",3,8799,0.90322,"Frizz Ease Daily Nourishment Leave-In Conditioning Spray by John Frieda for Unisex Hair Spray, 8 Oun"
22,"Alberto VO5 Moisturizing Hot Oil Treatment, 0.5 Ounce, 2-Count Tubes (Pack of 6) Alberto VO5 Restore",4,6214,0.89888,"Rusk Deepshine Keratin Care Smoothing Conditioner Unisex, 12 Ounce Rusk A sodium chloride-free, colo"
22,"Alberto VO5 Moisturizing Hot Oil Treatment, 0.5 Ounce, 2-Count Tubes (Pack of 6) Alberto VO5 Restore",5,8369,0.89779,"Joico K Pak Revitaluxe Treatment, 16.2 Fluid Ounce Joico Indulge in the ultimate luxury treatment fo"
