profile_id,job_cd,job_nm,job_clcd,job_clcd_nm,keco_cd,career_years,edu_level,major_field,major,cert,region,top_skill_1,top_skill_2,top_skill_3
25,K000007484,곡식작물재배원,901,작물재배 종사자,9011,3.6,고졸,공학,기계과,"유기농업기능사, 산업기사, 기사(국가기술)",서울,생물 92,식품생산 91,물적자원 관리 82
26,K000008483,우편집배원,624,택배원 및 기타 운송 종사자,6243,2.2,전문대졸,인문,,"자동차운전면허 제 1종, 2종 보통(국가전문)",서울,움직임 통제 95,반응시간과 속도 90,신체적 강인성 77
27,K000001045,과실 및 채소가공 관련 기계 조작원,873,식품 가공 기계 조작원,8734,2.2,대졸,인문,,,서울,신체적 강인성 100,고장의 발견.수리 98,움직임 통제 96
28,K000001010,도로 및 철도운송 사무원,028,무역·운송·생산·품질 사무원,0282,2.7,대졸,인문,,,대구,운송 84,사무 77,전산 73
29,K000001174,점토제품 생산기계 조작원,826,비금속제품 생산기계 조작원,8262,2.2,고졸,공학,,,서울,물적자원 관리 100,고장의 발견.수리 98,반응시간과 속도 89
30,K000001066,청소원,561,청소 종사자,5611,9.2,중졸 이하,공학,,,경기,신체적 강인성 79,고객서비스 58,유연성 및 균형 54
31,K000000866,출판·자료편집사무원,029,안내·고객상담·통계·비서 및 기타 사무원,0299,8.2,전문대졸,인문,,,경북,읽고 이해하기 95,국어 89,학습전략 86
32,K000007538,한식조리사,531,주방장 및 조리사,5312,11.1,전문대졸,인문,,,경기,신체적 강인성 100,식품생산 100,시력 98
33,K000001092,매표원 및 복권 판매원,616,매장 계산원 및 매표원,6162,2.6,고졸,인문,,,서울,고객서비스 72,상담 64,산수와 수학 62
34,K000000833,사회복지 관련 관리자,013,전문서비스 관리자,0135,4.6,대졸,사회,,,경기,서비스 지향 100,상담 100,인적자원 관리 97
35,K000001198,출판물기획자,411,작가·통번역가,4113,2.2,대졸,인문,,전자출판기능사(국가기술),서울,창의력 90,설득 89,사람 파악 88
36,K000001055,용접원(용접기조작원),824,용접원 및 용접기 조작원,8241,8.2,고졸,공학,,,경기,움직임 통제 100,반응시간과 속도 100,시력 96
37,K000001141,비누 및 화장품 화학공학기술자 및 연구원,154,화학공학 기술자 및 시험원,1541,2.8,석사,공학,신소재공학과,,서울,화학 100,기술 분석 100,창의력 96
38,K000000966,잡지기자,412,기자 및 언론 전문가,4120,7.9,대졸,사회,,,서울,범주화 100,국어 100,사회와 인류 100
39,K000007509,안경사,307,보건·의료 종사자,3073,2.5,대졸,공학,안경광학과,안경사(국가전문),강원,시력 91,장비의 유지 78,서비스 지향 76
40,K000001026,소음진동기술자 및 연구원,155,에너지·환경공학 기술자 및 시험원,1555,3.9,대졸,자연,,"소음진동산업기사, 기사, 기술사(국가기술)",서울,조작 및 통제 97,청력 93,판단과 의사결정 92
41,K000007457,한복제조원,863,의복 제조원 및 수선원,8631,2.2,중졸 이하,예체능,의상디자인학과,"한복기능사, 산업기사(국가기술)",경기,시력 94,정교한 동작 85,고객서비스 82
42,K000001112,금속 공작기계 조작원,813,금형원 및 공작기계 조작원,8132,3.6,전문대졸,공학,컴퓨터응용기계과,연삭기능사(국가기술),부산,조작 및 통제 100,고장의 발견.수리 92,품질관리분석 89
43,K000000843,자재관리 사무원(물류사무원),028,무역·운송·생산·품질 사무원,0284,1.3,대졸,사회,,검량사(국가전문),서울,협상 100,판단과 의사결정 100,범주화 100
44,K000000869,조림·산림경영인 및 벌목원,903,임업 종사자,9031,1.6,고졸,인문,,,대구,신체적 강인성 89,생물 83,유연성 및 균형 73
45,K000001075,방송·통신·인터넷 케이블 설치 및 수리원,842,방송·통신장비 설치·수리원,8423,1.5,전문대졸,공학,,"무선설비기능사, 산업기사, 기사(국가기술)",충북,통신 95,고장의 발견.수리 90,기계 88
46,K000000934,화학공학 시험원,154,화학공학 기술자 및 시험원,1542,11.7,대졸,자연,화학공학과,,대구,논리적 분석 100,화학 100,문제 해결 94
47,K000000831,도장원(도장기조작원),825,도장원 및 도금원,8251,3.5,대졸,공학,,"표면처리기능사, 산업기사, 기능장, 기술사(국가기술)",경남,움직임 통제 92,장비 선정 74,정교한 동작 71
48,K000007553,감사사무원,026,경영지원 사무원,0266,10.9,대졸,사회,,,울산,추리력 100,법 100,조직체계의 분석 및 평가 100
49,K000001056,양식원,904,어업 종사자,9041,10.3,고졸,인문,,,경기,작동 점검 100,생물 100,신체적 강인성 100
50,K000000827,노점 및 이동 판매원,615,판매 종사자,6156,5.7,고졸,인문,,,경기,서비스 지향 100,운송 91,식품생산 77
51,K000001204,계기 검침원 및 가스 점검원,564,검침·주차관리 및 기타 서비스 단순 종사자,5641,2.6,고졸,교육,,,경기,시력 99,작동 점검 94,품질관리분석 94
52,K000000995,"일반행정공무원(조세, 관세, 병무 제외)",025,정부행정 사무원,0259,2.0,석사,사회,,전산세무회계(국가공인 민간),경기,국어 100,법 99,말하기 93
53,K000000916,상하수도 처리장치 조작원,853,환경관련 장치 조작원,8531,1.9,전문대졸,공학,,"정수시설운영관리사 1, 2, 3급(국가전문)",서울,조작 및 통제 89,화학 86,작동 점검 81
54,K000001094,운송 관련 관리자,015,영업·판매·운송 관리자,0152,18.3,석사,인문,,,서울,법 100,사무 100,지리 100
55,K000000985,조경 기술자,140,건축·토목공학 기술자 및 시험원,1404,5.9,대졸,공학,조경학과,,서울,물적자원 관리 100,공간지각력 100,디자인 99
56,K000001163,금융상품개발원,031,금융·보험 전문가,0313,8.5,석사,인문,,보험계리사 CFP,대구,글쓰기 100,학습전략 100,논리적 분석 100
57,K000001030,철도기관차 및 전동차 정비원,812,운송장비 정비원,8123,7.9,대졸,공학,,,서울,정교한 동작 99,장비의 유지 88,기술 설계 88
58,K000000832,정보 보안 전문가,134,네트워크 시스템 개발자 및 정보보안 전문가,1342,3.7,석사,공학,,,대구,기술 설계 100,컴퓨터와 전자공학 100,학습전략 100
59,K000000965,의복·가죽 및 모피 수선원,863,의복 제조원 및 수선원,8634,9.0,대졸,인문,,양장기능사(국가기술),강원,시력 100,기술 설계 98,디자인 88
60,K000001195,상품중개인 및 경매사,612,기술·해외 영업원 및 상품중개인,6123,3.3,전문대졸,인문,,경매사(국가전문),인천,협상 100,청력 100,반응시간과 속도 94
61,K000000925,정부·공공행정전문가,021,정부행정 전문가 및 관련 종사자,0211,1.7,대졸,사회,,,광주,읽고 이해하기 100,판단과 의사결정 100,사무 99
62,K000001081,정부 행정 관리자,012,행정·경영·금융·보험 관리자,0121,21.5,석사,사회,,,경기,협상 100,사람 파악 100,재정 관리 100
63,K000007449,회계사,023,회계·세무·감정 전문가,0231,4.4,대졸,사회,,,경기,경제와 회계 100,수리력 100,문제 해결 100
64,K000001192,주방 보조원(일반음식점),532,식당 서비스원,5323,3.5,고졸,인문,,,경기,신체적 강인성 94,청력 92,반응시간과 속도 83
65,K000000945,금속가공 기계 조작원,821,금속관련 기계·설비 조작원,8212,3.8,전문대졸,공학,,금속재료시험기능사(국가기술),경남,고장의 발견.수리 100,움직임 통제 94,조작 및 통제 86
66,K000000940,건축시공기술자 및 견적원,140,건축·토목공학 기술자 및 시험원,1402,6.2,대졸,공학,건축공학과,,인천,판단과 의사결정 100,물적자원 관리 100,기술 분석 99
67,K000001037,유리·유리제품 생산기계 조작원,826,비금속제품 생산기계 조작원,8261,1.3,고졸,자연,공예과,,인천,기계 80,장비의 유지 79,공학과 기술 78
68,K000007449,회계사,023,회계·세무·감정 전문가,0231,6.2,대졸,사회,,,광주,읽고 이해하기 100,논리적 분석 100,전산 100
69,K000000945,금속가공 기계 조작원,821,금속관련 기계·설비 조작원,8212,2.5,고졸,공학,,,인천,정교한 동작 97,설치 97,조작 및 통제 91
70,K000008482,떡 제조원(한과포함),871,제과·제빵원 및 떡 제조원,8712,5.9,고졸,사회,,"한식조리기능사, 떡제조기능사",경기,정교한 동작 100,장비의 유지 87,시력 79
71,K000008545,로봇 설치 및 정비원,811,기계장비 설치·정비원(운송장비 제외),8111,1.7,고졸,공학,,,서울,움직임 통제 100,장비 선정 100,품질관리분석 100
72,K000007465,택시운전원,622,자동차 운전원,6221,6.8,고졸,인문,,,충남,시간 관리 100,청력 100,시력 98
73,K000000831,도장원(도장기조작원),825,도장원 및 도금원,8251,2.6,고졸,공학,,"표면처리기능사, 산업기사, 기능장, 기술사(국가기술)",서울,움직임 통제 98,장비 선정 84,정교한 동작 82
74,K000000875,인적자원전문가,022,경영·인사 전문가,0222,3.1,대졸,사회,,경영지도사《인적자원관리》(국가전문),경기,모니터링(Monitoring) 100,행동조정 100,경영 및 행정 99
75,K000001080,데이터분석가(빅데이터분석가),135,데이터 전문가,1352,2.7,박사,공학,,,경기,읽고 이해하기 100,논리적 분석 100,수리력 98
76,K000001127,의료코디네이터,029,안내·고객상담·통계·비서 및 기타 사무원,0292,10.5,전문대졸,자연,,간호사(국가전문),경기,협상 100,말하기 100,고객서비스 91
77,K000001000,제품 디자이너,415,디자이너,4151,3.8,전문대졸,예체능,,,광주,상품 제조 및 공정 98,예술 97,기술 분석 94
78,K000007480,건물도장공,702,건축마감 기능원,7026,4.6,전문대졸,인문,,,경기,건축 및 설계 79,디자인 78,신체적 강인성 74
79,K000000850,요양 보호사 및 간병인,550,돌봄 서비스 종사자,5501,1.5,전문대졸,인문,,요양보호사(국가전문),인천,신체적 강인성 97,심리 91,유연성 및 균형 88
80,K000001197,광석 및 석제품 생산기계 조작원,826,비금속제품 생산기계 조작원,8264,1.3,전문대졸,공학,,,서울,기계 92,설치 90,시력 90
81,K000001136,은행 사무원(출납창구제외),032,금융·보험 사무원,0321,9.1,대졸,사회,회계학과,국제금융역(국가공인 민간),대구,협상 100,글쓰기 100,조직체계의 분석 및 평가 100
82,K000008485,"경량철골공(석고보드공, 텍스공, 조립주택건립원)",701,건설구조 기능원,7012,1.4,고졸,인문,,,대전,설치 96,신체적 강인성 93,유연성 및 균형 86
83,K000007580,게임프로그래머,133,소프트웨어 개발자,1332,5.0,석사,공학,게임제작과,게임프로그래밍전문가,경기,컴퓨터와 전자공학 100,전산 99,범주화 99
84,K000000975,발전설비기술자,153,전기·전자공학 기술자 및 시험원,1531,4.1,대졸,공학,전기공학과,"신재생에너지발전설비산업기사, 기사《태양광》(국가기술)",경북,고장의 발견.수리 100,작동 점검 100,재정 관리 100
85,K000000884,선박갑판원,624,택배원 및 기타 운송 종사자,6244,12.7,고졸,공학,,,부산,지리 100,유연성 및 균형 100,기계 100
86,K000001035,조경원,901,작물재배 종사자,9015,5.3,고졸,공학,환경조경과,,경기,공간지각력 98,신체적 강인성 93,설치 80
87,K000001192,주방 보조원(일반음식점),532,식당 서비스원,5323,5.2,고졸,인문,,,부산,청력 87,신체적 강인성 80,정교한 동작 76
88,K000007449,회계사,023,회계·세무·감정 전문가,0231,3.2,대졸,사회,,,서울,재정 관리 100,듣고 이해하기 99,문제 해결 94
89,K000001212,청원경찰,541,경호·보안 종사자,5412,4.3,대졸,사회,,일반경비지도사(국가전문),경기,행동조정 94,유연성 및 균형 91,신체적 강인성 84
90,K000000944,경영 및 진단 전문가,022,경영·인사 전문가,0221,0.5,대졸,인문,,,서울,서비스 지향 100,선택적 집중력 100,설득 100
91,K000001054,화학물 가공 장치 조작원,851,석유·화학물 가공장치 조작원,8512,1.4,고졸,공학,기계과,"위험물기능사, 산업기사(국가기술)",대구,장비의 유지 100,상품 제조 및 공정 96,고장의 발견.수리 93
92,K000000884,선박갑판원,624,택배원 및 기타 운송 종사자,6244,4.1,고졸,인문,,,경기,신체적 강인성 100,기계 100,고장의 발견.수리 100
93,K000000924,통신기기·장비기술자,131,컴퓨터하드웨어·통신공학 기술자,1312,4.2,대졸,공학,,RFID관리사(국가공인 민간),경기,기술 분석 100,통신 100,설치 100
94,K000000995,"일반행정공무원(조세, 관세, 병무 제외)",025,정부행정 사무원,0259,6.6,대졸,공학,,ERP정보관리사《물류/생산/인사/회계》(국가공인 민간),서울,글쓰기 100,범주화 100,국어 99
95,K000001042,모바일앱개발자,133,소프트웨어 개발자,1332,5.8,대졸,공학,,,울산,읽고 이해하기 100,논리적 분석 100,기술 분석 96
96,K000001035,조경원,901,작물재배 종사자,9015,6.1,고졸,공학,환경조경과,,서울,공간지각력 87,건축 및 설계 79,신체적 강인성 77
97,K000000966,잡지기자,412,기자 및 언론 전문가,4120,6.8,대졸,사회,,,서울,예술 100,글쓰기 100,읽고 이해하기 100
98,K000001013,냉·난방 관련 설비 조작원,814,냉·난방 설비 조작원,8140,13.0,전문대졸,공학,,,강원,건축 및 설계 100,기술 분석 100,물적자원 관리 100
99,K000001066,청소원,561,청소 종사자,5611,25.0,고졸,인문,,,대구,신체적 강인성 89,고객서비스 76,건축 및 설계 67
100,K000007506,항공기객실승무원,522,항공기·선박·열차 객실승무원,5221,3.6,대졸,사회,항공비서과,,서울,고객서비스 100,시력 99,유연성 및 균형 93
101,K000001168,증권 및 외환 딜러,031,금융·보험 전문가,0314,4.6,석사,사회,,파생상품투자상담사(비공인 민간),서울,선택적 집중력 100,기억력 100,인적자원 관리 100
102,K000001045,과실 및 채소가공 관련 기계 조작원,873,식품 가공 기계 조작원,8734,5.5,대졸,공학,,,서울,조작 및 통제 100,신체적 강인성 98,반응시간과 속도 96
103,K000000938,대기환경기술자,155,에너지·환경공학 기술자 및 시험원,1555,0.9,대졸,자연,,,부산,물리 86,설치 78,공학과 기술 76
104,K000000893,음료 조리사(바리스타포함),531,주방장 및 조리사,5317,11.2,대졸,자연,,조주기능사(국가기술),경기,식품생산 97,서비스 지향 87,유연성 및 균형 78
105,K000007468,버스운전원,622,자동차 운전원,6222,1.7,고졸,인문,,자동차운전면허 제 1종 대형(국가전문),강원,움직임 통제 100,운송 100,조작 및 통제 96
106,K000001204,계기 검침원 및 가스 점검원,564,검침·주차관리 및 기타 서비스 단순 종사자,5641,6.4,대졸,공학,,,충북,시력 100,작동 점검 100,청력 94
107,K000001024,제분 및 도정 관련 기계 조작원,873,식품 가공 기계 조작원,8732,3.6,고졸,공학,,,경기,상품 제조 및 공정 83,기계 81,식품생산 80
108,K000001215,신용분석사,031,금융·보험 전문가,0311,7.1,대졸,사회,,투자자산운용사(비공인 민간),대구,경제와 회계 100,논리적 분석 100,판단과 의사결정 100
109,K000001000,제품 디자이너,415,디자이너,4151,3.4,박사,예체능,,"제품디자인산업기사, 기사, 기술사(국가기술)",경기,예술 98,디자인 91,창의력 90
110,K000007542,한의사,301,"의사, 한의사 및 치과의사",3013,0.8,박사,의약,한의학과,한의사(국가전문),경기,상담 97,사람 파악 97,추리력 92
111,K000000851,지휘자,414,"창작·공연 전문가(작가, 연극 제외)",4145,0.8,박사,예체능,기악과,,충북,선택적 집중력 98,청력 94,모니터링(Monitoring) 89
112,K000001010,도로 및 철도운송 사무원,028,무역·운송·생산·품질 사무원,0282,5.7,대졸,사회,,,서울,운송 80,사무 77,안전과 보안 72
113,K000008523,통계·데이터 관련 사무원,029,안내·고객상담·통계·비서 및 기타 사무원,0293,1.7,석사,인문,,,서울,읽고 이해하기 86,수리력 77,논리적 분석 72
114,K000001202,"전기계측제어기술자(전기패널, 계장, 공정자동화전기 등)",153,전기·전자공학 기술자 및 시험원,1531,1.0,석사,공학,전기공학과,"생산자동화기능사, 산업기사(국가기술)",경기,품질관리분석 100,물적자원 관리 100,공간지각력 94
115,K000001036,가스·에너지시험원 및 진단전문가,155,에너지·환경공학 기술자 및 시험원,1552,2.5,대졸,자연,,,대구,안전과 보안 100,품질관리분석 99,화학 92
116,K000007564,놀이치료사,306,의료기사·치료사·재활사,3069,25.0,대졸,사회,,놀이심리상담사,대구,고객서비스 100,가르치기 100,읽고 이해하기 100
117,K000001192,주방 보조원(일반음식점),532,식당 서비스원,5323,5.6,고졸,인문,,,울산,신체적 강인성 92,시력 88,청력 85
118,K000008490,육아 도우미(베이비시터),550,돌봄 서비스 종사자,5505,4.1,고졸,사회,,,경기,청력 74,유연성 및 균형 71,신체적 강인성 67
119,K000007494,간호사,304,간호사,3040,7.4,대졸,의약,간호학과,"간호사(국가전문), 전문간호사",서울,반응시간과 속도 98,의료 95,기억력 91
120,K000007474,한약사,303,약사 및 한약사,3032,3.1,대졸,의약,한약학과,한약사(국가전문),서울,의료 90,생물 86,서비스 지향 72
121,K000001080,데이터분석가(빅데이터분석가),135,데이터 전문가,1352,7.5,대졸,자연,,,울산,말하기 100,학습전략 100,문제 해결 100
122,K000007538,한식조리사,531,주방장 및 조리사,5312,4.4,전문대졸,인문,,,경기,식품생산 90,물적자원 관리 88,시력 82
123,K000001151,섬유공학 시험원(섬유·염료),156,섬유공학 기술자 및 시험원,1562,5.3,대졸,공학,섬유공학과,,경기,논리적 분석 100,화학 100,품질관리분석 96
124,K000000925,정부·공공행정전문가,021,정부행정 전문가 및 관련 종사자,0211,2.4,박사,사회,,,충남,글쓰기 100,사람 파악 100,조직체계의 분석 및 평가 100
125,K000000864,재활공학기사(의지보조기기사),306,의료기사·치료사·재활사,3067,5.2,전문대졸,의약,,"의공산업기사, 기사(국가기술)",서울,장비의 유지 94,의료 91,디자인 91
126,K000000851,지휘자,414,"창작·공연 전문가(작가, 연극 제외)",4145,4.6,대졸,예체능,작곡과,,서울,교육 및 훈련 100,모니터링(Monitoring) 97,가르치기 94
127,K000008481,네트워크관리자(클라우딩컴퓨터운영관리자),136,정보시스템 및 웹 운영자,1361,4.2,대졸,사회,,"정보처리기능사, 산업기사, 기사(국가기술)",전북,전산 98,기술 분석 91,장비의 유지 87
128,K000007506,항공기객실승무원,522,항공기·선박·열차 객실승무원,5221,10.3,전문대졸,사회,항공비서과,,경기,운송 100,사람 파악 100,고장의 발견.수리 95
129,K000008489,결혼 상담원 및 웨딩플래너,512,결혼·장례 등 예식 서비스원,5121,1.8,대졸,인문,,,부산,창의력 93,말하기 88,서비스 지향 80
130,K000007468,버스운전원,622,자동차 운전원,6222,2.1,고졸,공학,,자동차운전면허 제 1종 대형(국가전문),경기,운송 100,반응시간과 속도 97,조작 및 통제 96
131,K000001204,계기 검침원 및 가스 점검원,564,검침·주차관리 및 기타 서비스 단순 종사자,5641,0.7,전문대졸,인문,,,서울,장비의 유지 97,고장의 발견.수리 90,시력 86
132,K000007536,부동산 컨설턴트 및 중개사,611,부동산 컨설턴트 및 중개사,6110,3.3,전문대졸,공학,,공인중개사(국가전문),인천,사람 파악 100,말하기 96,경영 및 행정 94
133,K000001123,섬유공학 기술자 및 연구원,156,섬유공학 기술자 및 시험원,1561,4.1,대졸,공학,섬유시스템공학과,섬유공정기술사(국가기술),인천,화학 97,조작 및 통제 91,기술 분석 91
134,K000000871,일반기계 조립원,816,기계 조립원(운송장비 제외),8161,7.7,전문대졸,공학,,"정밀측정기능사, 산업기사(국가기술)",대구,유연성 및 균형 100,조직체계의 분석 및 평가 97,기계 96
135,K000000957,스포츠강사 및 트레이너,420,스포츠·레크리에이션 종사자,4204,6.0,대졸,예체능,생활체육학과,,강원,가르치기 100,유연성 및 균형 100,서비스 지향 93
136,K000008503,임상심리사(심리치료사),306,의료기사·치료사·재활사,3066,2.7,대졸,인문,,"임상심리사 1,2급(국가기술)",인천,행동조정 80,말하기 79,사람 파악 75
137,K000000850,요양 보호사 및 간병인,550,돌봄 서비스 종사자,5501,3.8,고졸,인문,,,경기,서비스 지향 100,유연성 및 균형 86,청력 80
138,K000007482,변호사,221,법률 전문가,2212,5.6,석사,사회,법학과,변호사(국가전문),서울,글쓰기 100,인사 100,설득 100
139,K000007454,의상디자이너,415,디자이너,4152,8.7,대졸,예체능,,,서울,예술 100,선택적 집중력 99,기술 설계 91
140,K000000932,유리 부착원(유리공),702,건축마감 기능원,7025,3.6,고졸,인문,,"유리시공기능사, 산업기사(국가기술)",경기,유연성 및 균형 100,시력 97,설치 89
141,K000001047,고무 및 플라스틱제품 조립원,852,고무·플라스틱 및 화학제품 생산기계 조작원 및 조립원,8524,3.8,고졸,공학,,"화공기사, 산업기사(국가기술)",경기,유연성 및 균형 93,반응시간과 속도 86,움직임 통제 84
142,K000001033,제화원,864,"제화원, 기타 섬유·의복 기계 조작원 및 조립원",8641,6.3,고졸,공학,,,서울,품질관리분석 80,디자인 79,상품 제조 및 공정 79
143,K000001000,제품 디자이너,415,디자이너,4151,5.5,대졸,예체능,,,충북,설득 100,상품 제조 및 공정 100,공간지각력 99
144,K000000873,음향 및 녹음 기사,416,연극·영화·방송 전문가,4165,5.9,대졸,예체능,,"방송통신기능사, 산업기사, 기사(국가기술)",울산,예술 100,조작 및 통제 99,장비의 유지 98
145,K000000945,금속가공 기계 조작원,821,금속관련 기계·설비 조작원,8212,0.8,고졸,공학,,,경기,조작 및 통제 87,상품 제조 및 공정 84,반응시간과 속도 84
146,K000008542,신재생에너지 시험원,155,에너지·환경공학 기술자 및 시험원,1554,0.3,대졸,공학,,,경기,장비의 유지 94,움직임 통제 89,장비 선정 88
147,K000000831,도장원(도장기조작원),825,도장원 및 도금원,8251,3.8,고졸,공학,,"표면처리기능사, 산업기사, 기능장, 기술사(국가기술)",서울,신체적 강인성 85,정교한 동작 79,움직임 통제 75
148,K000008494,대중무용수(백댄서),414,"창작·공연 전문가(작가, 연극 제외)",4147,8.6,대졸,인문,,,서울,유연성 및 균형 100,공간지각력 97,창의력 89
149,K000000929,수상 및 항공운송 사무원,028,무역·운송·생산·품질 사무원,0283,7.7,대졸,사회,,물류관리사(국가전문),인천,운송 94,시간 관리 85,모니터링(Monitoring) 84
150,K000007449,회계사,023,회계·세무·감정 전문가,0231,1.9,대졸,인문,,공인회계사(국가전문),서울,경제와 회계 100,판단과 의사결정 97,수리력 95
151,K000000828,시멘트 및 광물제품 생산기계 조작원,826,비금속제품 생산기계 조작원,8263,4.5,전문대졸,사회,,,경기,작동 점검 100,기술 분석 91,장비의 유지 91
152,K000007449,회계사,023,회계·세무·감정 전문가,0231,8.0,대졸,사회,,공인회계사(국가전문),충남,범주화 100,논리적 분석 100,모니터링(Monitoring) 100
153,K000007491,전기안전기술자,153,전기·전자공학 기술자 및 시험원,1531,6.5,전문대졸,공학,,,충남,작동 점검 100,기술 분석 100,움직임 통제 100
154,K000001113,특수교육 교사,212,학교 교사,2123,1.1,대졸,교육,,"특수학교 1, 2급 정교사(국가전문)",대구,학습전략 100,행동조정 100,가르치기 100
155,K000000924,통신기기·장비기술자,131,컴퓨터하드웨어·통신공학 기술자,1312,5.1,석사,예체능,,RFID관리사(국가공인 민간),충남,기술 설계 100,설치 100,장비 선정 100
156,K000008542,신재생에너지 시험원,155,에너지·환경공학 기술자 및 시험원,1554,3.9,석사,공학,,,경남,작동 점검 100,장비의 유지 98,기술 분석 98
157,K000001102,미장공,702,건축마감 기능원,7021,3.4,고졸,인문,,,경기,정교한 동작 84,건축 및 설계 79,신체적 강인성 79
158,K000000910,법률·경찰·소방 및 교도 관리자,013,전문서비스 관리자,0133,2.2,대졸,사회,,소방안전교육사(국민안전처),서울,논리적 분석 99,기억력 96,사람 파악 90
159,K000001055,용접원(용접기조작원),824,용접원 및 용접기 조작원,8241,3.7,고졸,인문,,"용접기능사, 산업기사, 기사, 기능장, 기술사(국가기술)",서울,조작 및 통제 95,시력 92,고장의 발견.수리 89
160,K000001158,산업 전기공(항공기·선박·철도기관차·전동차전기공),831,전기공,8311,2.5,전문대졸,공학,,소방설비(산업)기사《전기분야》(국가기술),충남,고장의 발견.수리 100,설치 100,기계 100
161,K000000857,사회복지사,231,사회복지사 및 상담사,2311,1.3,대졸,사회,,,광주,설득 100,심리 98,범주화 98
